"TPREG,C,1","ENTIDAD,C,2","MUNICIPIO,C,3","LOCALIDAD,C,4","AGEB,C,4","NUMCONTROL,C,6","VIVSEL,C,2","IDHOGAR,C,6","FOLIO,C,3","CONSEC,C,3","PAREDES,C,2","TECHOS,C,2","PISOS,C,1","COCINA,C,1","COCINAD,C,1","CUARTOSD,C,2","TOTCUARTOS,C,2","SUPERFICIE,C,3","RANGOSUP,C,1","DISPOAG,C,1","SANITARIO,C,1","SERVSAN,C,1","DRENAJE,C,1","ELECTRICI,C,1","FOCOS,C,2","COMBUS,C,1","ESTEREO,C,1","RADIO,C,1","TV,C,1","VIDEO,C,1","REFRI,C,1","LAVADORA,C,1","HORNOMI,C,1","AUTO,C,1","LAPTOP,C,1","COMPU,C,1","IMPRESO,C,1","VIDEOJ,C,1","TELEFONO,C,1","CELU,C,1","TVPAGA,C,1","INTERNET,C,1"
2,28,038,0001,0425,280511,04,111111,028,019,08,08,3,1,2,01,09,000,6,1,1,1,1,1,12,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,2,2
2,28,038,0001,0425,280511,05,111111,028,020,08,08,3,1,2,01,03,000,9,1,1,1,1,1,05,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2
2,28,038,0001,0196,280536,01,111111,028,021,08,08,3,1,2,02,04,060,,1,1,1,1,1,07,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2
2,28,038,0001,0196,280536,02,111111,028,022,08,08,3,1,2,02,06,000,6,1,1,1,1,1,07,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2
2,28,038,0001,0196,280536,05,111111,028,025,08,08,3,1,2,01,03,000,1,1,1,1,1,1,10,1,2,2,1,1,1,1,2,2,2,2,2,2,1,2,1,2
2,28,038,0001,1211,280548,01,111111,028,026,08,08,3,1,2,02,06,000,1,1,1,1,1,1,12,1,1,1,1,2,1,1,2,2,1,2,2,2,1,1,2,2
2,28,038,0001,1211,280548,02,111111,028,027,08,08,3,1,2,03,05,072,,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1
2,28,038,0001,1211,280548,03,111111,028,028,08,08,3,1,2,02,04,000,5,1,1,1,1,1,06,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2
2,28,038,0001,1211,280548,04,111111,028,029,08,08,3,1,2,02,04,000,2,1,1,1,1,1,09,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,1
2,28,038,0001,1211,280548,05,111111,028,030,08,08,2,1,2,02,04,000,5,1,1,1,1,1,12,1,2,2,1,1,1,1,2,1,2,2,2,2,1,1,2,2
2,28,009,0001,1046,280567,01,111111,028,031,08,03,2,1,2,02,03,015,,2,1,2,5,1,03,1,1,2,1,1,1,1,2,2,2,2,2,2,2,1,2,2
2,28,009,0001,1046,280567,02,111111,028,032,08,08,2,1,2,02,04,000,9,1,1,1,1,1,06,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2
2,28,009,0001,1046,280567,04,111111,028,034,08,08,2,1,2,02,04,000,9,1,1,1,1,1,09,5,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,2
2,28,038,0001,0849,280568,02,111111,028,037,08,08,2,1,2,02,05,000,3,1,1,1,1,1,06,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2
2,28,038,0001,0849,280568,03,111111,028,038,08,08,2,2,,01,02,036,,2,1,2,1,1,04,1,1,1,1,2,1,2,2,2,2,2,2,2,2,1,2,2
2,28,038,0001,0849,280568,04,111111,028,039,08,08,2,1,2,01,02,000,1,1,1,1,1,1,03,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,2,2
2,28,038,0001,0849,280568,05,111111,028,040,08,08,3,1,2,01,05,000,2,1,1,1,1,1,10,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2
2,28,038,0001,0482,280577,01,111111,028,041,08,08,3,1,2,04,07,140,,1,1,1,1,1,14,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2
2,28,038,0001,0482,280577,02,111111,028,042,08,08,2,1,2,01,03,000,9,2,1,1,1,1,04,1,2,1,1,1,1,1,2,1,2,2,2,2,1,2,2,2
2,28,038,0001,0482,280577,03,111111,028,043,08,08,3,1,2,01,02,000,3,1,1,1,1,1,04,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1
2,28,038,0001,0482,280577,04,111111,028,044,08,08,2,1,2,01,02,000,3,1,1,1,1,1,04,1,1,2,1,1,1,1,2,2,2,2,2,2,1,1,2,2
2,28,038,0001,0482,280577,05,111111,028,045,06,02,2,1,1,01,01,000,1,4,2,,5,1,02,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2
2,28,009,0001,0936,280598,01,111111,028,046,08,08,2,1,2,02,04,000,1,1,1,1,1,1,05,1,1,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2
2,28,009,0001,0936,280598,02,111111,028,047,08,08,2,1,2,02,04,000,9,1,1,1,1,1,10,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2
2,28,009,0001,0936,280598,03,111111,028,048,08,08,3,1,2,01,02,000,1,1,1,1,1,1,05,1,1,2,1,2,1,1,2,1,2,2,2,2,1,2,1,2
2,28,009,0001,0936,280598,04,111111,028,049,08,08,3,1,2,02,05,000,2,1,1,1,1,1,07,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1
2,28,009,0001,0936,280598,05,111111,028,050,08,08,3,2,,01,01,000,9,1,1,1,1,1,04,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2
2,28,009,0001,0724,280611,01,111111,028,051,08,08,3,1,2,02,06,250,,1,1,1,1,1,25,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,28,009,0001,0724,280611,02,111111,028,052,06,02,2,1,2,01,01,000,9,1,1,1,1,1,02,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2
2,28,009,0001,0724,280611,03,111111,028,053,08,08,3,1,2,02,04,000,9,1,1,1,1,1,06,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2
2,28,009,0001,0724,280611,04,111111,028,054,08,08,3,1,2,01,03,000,9,1,1,1,1,1,05,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2
2,28,009,0001,0724,280611,05,111111,028,055,08,08,3,1,2,03,04,000,9,1,1,1,1,1,16,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1
2,28,009,0001,0531,280645,01,111111,028,056,08,08,3,1,2,03,06,000,9,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1
2,28,009,0001,0531,280645,02,111111,028,057,08,08,3,1,2,02,08,290,,1,1,1,1,1,25,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1
2,28,009,0001,0531,280645,03,111111,028,058,08,08,3,1,2,03,06,000,9,1,1,1,1,1,06,1,1,2,1,1,1,1,2,1,2,2,2,1,1,2,2,2
2,28,009,0001,0531,280645,04,111111,028,059,08,08,3,1,2,02,04,000,8,1,1,1,1,1,06,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2
2,28,009,0001,0531,280645,05,111111,028,060,08,08,3,1,2,04,06,250,,1,1,1,1,1,08,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,1
2,28,038,0001,0355,280648,01,111111,028,061,08,08,3,1,2,01,01,000,9,1,1,1,1,1,03,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2
