"RESENT,C,2","EDAD,C,3","SEXO,C,1","TPREG,C,1","ENTIDAD,C,2","MUNICIPIO,C,3","LOCALIDAD,C,4","AGEB,C,4","NUMCONTROL,C,6","VIVSEL,C,2","IDHOGAR,C,6","RADIO,C,1","PERYREV,C,1","REVCIEN,C,1","INTERNET,C,1","TELEVI,C,1","ESCUNIV,C,1","ALLOPTS,C,1","NONEOP,C,1","NOSABE,C,1","HRSTV,C,3","NOTITV,C,3","CYTTV,C,3","HRSRADIO,C,3","NOTIRA,C,3","CYTRA,C,3","DIASPER,C,1","ARTIPER,C,3","NOTIPER,C,3","CYTPER,C,3","DIASREV,C,2","ARTREV,C,2","NOTIREV,C,2","CYTREV,C,2","REVISTA1,C,30","REVISTA2,C,30","REVISTA3,C,30","ACCOMPU,C,1","LUGAR1,C,2","LUGAR2,C,2","CINTERN,C,1","ACCINTER,C,1","HORASIN,C,3","ARTEYHUM,C,1","SOCYCUL,C,1","CONVERTR,C,1","INSTGOB,C,1","CIENCIA,C,1","DEPOR,C,1","ECOYFIN,C,1","ENTRETE,C,1","TECNOL,C,1","NOTIAC,C,1","EDUCA,C,1","SERVSREF,C,1","COMENLI,C,1","CORREOE,C,1","MEDICINA,C,1","OTROS,C,1","MUSARTE,C,1","ZOO,C,1","BIBLIOPUB,C,1","MUSCYT,C,1","PLANETA,C,1","EXPTYI,C,1","SEMNCYT,C,1","MUCHPCYT,C,1","DESCYTNE,C,1","PERSINCC,C,1","PREFTVSI,C,1","NOLEECYT,C,1","NUMREN,C,2","FACPER,N,10,0"
01,045,2,7,19,046,0001,1089,190331,01,111111,1,2,3,6,4,5,0,0,0,010,010,000,009,005,000,7,010,010,000,02,20,10,10,A�O CERO,MILENIO,SELECCIONES,2,,,1,2,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,1,4,3,3,4,02,22057
01,058,2,7,19,046,0001,1089,190331,02,111111,1,4,3,6,2,5,0,0,0,036,003,000,036,001,000,1,003,000,000,00,00,00,00,,,,2,,,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,5,5,1,02,22057
01,028,1,7,19,046,0001,1089,190331,03,111111,5,6,2,3,4,1,0,0,0,030,007,003,002,000,000,5,034,014,020,01,35,10,20,Q,MUY INTERESANTE,,1,02,08,1,1,004,1,1,2,1,1,2,2,1,1,1,1,2,2,2,1,2,1,1,2,2,1,1,2,3,3,2,2,2,01,25649
01,083,1,7,19,046,0001,1089,190331,04,111111,0,0,0,0,0,0,1,0,0,006,006,000,000,000,000,2,012,012,000,00,00,00,00,,,,2,,,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,5,2,2,01,25649
01,040,1,7,19,046,0001,1089,190331,05,111111,0,0,0,0,0,0,0,0,1,006,006,000,006,000,000,0,000,000,000,00,00,00,00,,,,2,,,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,5,5,5,5,5,03,25649
01,035,2,7,19,006,0001,0668,190333,01,111111,3,1,5,6,2,4,0,0,0,042,000,000,014,007,000,7,014,000,000,02,01,00,00,TVNOVELAS,,,2,,,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,2,2,1,1,02,14920
01,022,1,7,19,006,0001,0668,190333,02,111111,2,4,6,5,3,1,0,0,0,006,006,000,036,024,000,0,000,000,000,03,04,04,01,AUTOS Y MAS,,,1,01,02,1,1,012,1,2,2,2,1,1,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,03,37300
01,029,2,7,19,006,0001,0668,190333,03,111111,5,6,1,3,4,2,0,0,0,024,009,000,000,000,000,0,000,000,000,00,00,00,00,,,,2,,,2,,,,,,,,,,,,,,,,,,,2,1,1,2,2,2,2,5,5,5,5,4,02,14920
01,039,1,7,19,006,0001,0668,190333,04,111111,5,4,2,3,6,1,0,0,0,007,003,000,006,000,000,0,000,000,000,00,00,00,00,,,,1,01,02,1,1,015,2,2,1,1,1,1,1,1,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,3,3,2,3,2,01,37300
01,043,2,7,19,006,0001,0668,190333,05,111111,2,3,5,6,1,4,0,0,0,012,006,001,018,000,000,0,000,000,000,00,00,00,00,,,,2,,,2,,,,,,,,,,,,,,,,,,,1,1,2,2,2,1,2,2,2,2,2,2,02,14920
01,019,2,7,19,046,0001,0127,190340,01,111111,6,2,4,3,5,1,0,0,0,010,003,003,002,000,000,7,031,020,010,02,10,05,05,COSMOPOLITAN,MUY INTERESANTE,CONTENIDO,1,03,00,1,1,003,1,2,2,2,1,2,2,1,1,1,1,1,2,1,1,2,1,2,1,2,2,1,2,2,3,3,3,3,05,34208
01,032,1,7,19,046,0001,0127,190340,03,111111,2,3,5,4,1,6,0,0,0,018,009,000,006,001,000,7,003,003,000,00,00,00,00,,,,2,,,1,2,,,,,,,,,,,,,,,,,,2,1,2,2,2,2,2,2,3,2,3,2,01,17104
01,027,2,7,19,046,0001,0127,190340,04,111111,6,2,3,1,4,5,0,0,0,006,000,000,006,000,000,0,000,000,000,00,00,00,00,,,,1,01,02,1,1,006,1,1,2,1,2,2,2,1,2,2,2,1,2,1,1,2,2,1,2,2,2,2,2,3,3,2,3,1,03,34208
01,043,1,7,19,046,0001,0127,190340,05,111111,6,4,2,1,5,3,0,0,0,008,003,001,050,005,000,0,000,000,000,00,00,00,00,,,,1,01,00,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,1,1,2,01,17104
01,039,1,7,19,039,0001,0940,190382,02,111111,6,3,2,4,5,1,0,0,0,038,010,000,000,000,000,2,004,003,000,00,00,00,00,,,,1,02,00,1,1,999,2,1,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,01,20403
01,069,2,7,19,039,0001,0940,190382,03,111111,2,0,0,0,1,0,0,0,1,018,008,001,018,001,000,0,000,000,000,00,00,00,00,,,,2,,,1,2,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,3,2,2,02,52464
01,048,1,7,19,039,0001,0940,190382,04,111111,2,3,4,1,5,6,0,0,0,014,007,002,035,014,000,1,001,001,000,05,08,02,12,Q,SELECCIONES,,1,01,00,1,2,,,,,,,,,,,,,,,,,,1,1,2,2,1,2,2,3,3,3,2,2,01,20403
