"TPREG,C,1","ENTIDAD,C,2","MUNICIPIO,C,3","LOCALIDAD,C,4","AGEB,C,4","NUMCONTROL,C,6","VIVSEL,C,2","IDHOGAR,C,6","NUMREN,C,2","PARENTE,C,1","SEXO,C,1","EDAD,C,3","DIA,C,2","MES,C,2","ELIGIBI,C,1","ALFABE,C,1","ASISTEN,C,1","NIVEL,C,2","ANIOS,C,1","ANTECE,C,1","SITCONY,C,1","CONDACT,C,1","VERIFAC,C,1","FACVIV,N,10,0"
4,03,003,0001,3373,030082,05,111111,01,1,1,049,31,10,0,1,2,02,3,,1,1,,662
4,03,003,0001,3373,030082,05,111111,02,2,2,048,31,08,0,1,2,03,3,,1,5,5,662
4,03,003,0001,3373,030082,05,111111,03,3,1,019,11,11,1,1,2,03,3,,6,1,,662
4,03,003,0001,3373,030082,05,111111,04,3,1,014,04,02,0,2,2,02,6,,6,1,,662
4,03,003,0001,3373,030082,05,111111,05,3,2,013,28,02,0,1,1,03,1,,6,4,5,662
4,03,003,0001,3373,030082,05,111111,06,3,1,008,04,09,0,1,1,02,1,,,,,662
4,03,003,0001,3481,030087,01,111111,01,1,1,028,07,05,0,1,2,06,3,2,1,1,,124
4,03,003,0001,3481,030087,01,111111,02,2,2,024,04,08,1,1,2,03,1,,1,5,5,124
4,03,003,0001,3481,030087,01,111111,03,3,1,007,15,10,0,2,1,01,2,,,,,124
4,03,003,0001,3481,030087,01,111111,04,3,1,004,13,08,0,,,,,,,,,124
4,03,003,0001,3481,030087,01,111111,05,3,2,003,06,11,0,,,,,,,,,124
4,03,003,0001,3481,030087,02,111111,01,1,1,042,03,04,0,1,2,04,2,,5,2,,124
4,03,003,0001,3481,030087,02,111111,02,2,2,036,29,07,1,1,2,03,3,,5,5,5,124
4,03,003,0001,3481,030087,02,111111,03,3,1,018,27,04,0,1,2,04,2,,6,1,,124
4,03,003,0001,3481,030087,02,111111,04,3,2,017,20,03,0,1,2,03,3,,6,5,5,124
4,03,003,0001,3481,030087,02,111111,05,3,2,009,27,08,0,1,1,02,3,,,,,124
4,03,003,0001,3481,030087,03,111111,01,1,1,063,26,04,1,1,2,02,3,,2,1,,124
4,03,003,0001,3481,030087,04,111111,01,1,1,046,18,03,1,1,2,04,3,,1,1,,124
4,03,003,0001,3481,030087,04,111111,02,2,2,034,04,03,0,1,2,03,3,,1,5,5,124
4,03,003,0001,3481,030087,04,111111,03,3,2,015,17,07,0,1,2,03,1,,6,5,5,124
4,03,003,0001,3481,030087,04,111111,04,3,1,011,18,07,0,1,1,02,2,,,,,124
4,03,003,0001,3481,030087,04,111111,05,3,1,005,26,07,0,2,1,01,2,,,,,124
4,03,003,0001,3481,030087,05,111111,01,1,1,039,26,06,0,2,2,00,0,,5,1,,124
4,03,003,0001,3481,030087,05,111111,02,2,2,034,09,10,1,1,2,03,3,,5,1,,124
4,03,003,0001,3481,030087,05,111111,03,3,1,016,09,05,0,1,1,03,1,,6,1,,124
4,03,003,0001,3208,030088,01,111111,01,1,2,043,28,08,1,1,2,06,3,1,2,1,,528
4,03,003,0001,3208,030088,01,111111,02,3,1,026,07,04,0,1,2,03,3,,6,1,,528
4,03,003,0001,3208,030088,01,111111,03,3,2,018,21,07,0,1,1,04,3,,6,4,5,528
4,03,003,0001,3208,030088,02,111111,01,1,1,027,11,10,0,1,2,03,1,,5,1,,528
4,03,003,0001,3208,030088,02,111111,02,2,2,021,13,10,1,1,2,03,1,,5,5,3,528
4,03,003,0001,3208,030088,02,111111,03,3,1,005,24,12,0,2,1,01,2,,,,,528
4,03,003,0001,3208,030088,02,111111,04,3,1,001,30,12,0,,,,,,,,,528
4,03,003,0001,3208,030088,03,111111,01,1,1,042,27,12,0,1,2,02,2,,5,1,,528
4,03,003,0001,3208,030088,03,111111,02,2,2,038,30,06,0,1,2,03,1,,5,5,5,528
4,03,003,0001,3208,030088,03,111111,03,3,2,018,04,08,1,1,1,04,1,,6,4,5,528
4,03,003,0001,3208,030088,03,111111,04,3,2,016,22,09,0,1,1,03,3,,6,4,5,528
4,03,003,0001,3208,030088,03,111111,05,3,2,004,21,06,0,,,,,,,,,528
4,03,003,0001,3208,030088,04,111111,01,1,1,043,13,02,0,1,2,02,3,,5,1,,528
4,03,003,0001,3208,030088,04,111111,02,2,2,045,12,06,0,1,2,03,3,,5,1,,528
4,03,003,0001,3208,030088,04,111111,03,3,1,023,08,05,0,1,2,07,5,3,6,1,,528
4,03,003,0001,3208,030088,04,111111,04,3,2,020,02,09,1,1,1,07,3,3,6,4,5,528
4,03,003,0001,3208,030088,05,111111,01,1,1,020,18,11,1,1,2,04,1,,6,1,,528
4,03,003,0001,3208,030088,05,111111,02,4,1,023,25,03,0,1,2,04,2,,6,1,,528
4,03,003,0001,2017,030097,01,111111,01,1,2,029,05,12,2,1,2,02,6,,1,5,5,446
4,03,003,0001,2017,030097,01,111111,02,2,1,027,07,03,1,1,2,02,6,,1,1,,446
4,03,003,0001,2017,030097,01,111111,03,3,2,000,05,02,0,,,,,,,,,446
4,03,003,0001,2017,030097,02,111111,01,1,1,022,20,01,0,1,2,04,3,,6,1,,446
4,03,003,0001,2017,030097,02,111111,02,4,1,021,19,03,1,1,2,03,3,,6,1,,446
4,03,003,0001,2017,030097,04,111111,01,1,1,064,18,10,0,1,1,07,6,3,5,4,4,446
4,03,003,0001,2017,030097,04,111111,02,2,2,049,28,10,0,1,2,06,3,2,5,5,5,446
4,03,003,0001,2017,030097,04,111111,03,3,2,021,24,08,0,1,1,07,2,3,6,4,5,446
4,03,003,0001,2017,030097,04,111111,04,4,2,076,07,11,1,1,2,06,3,1,4,8,5,446
4,03,003,0001,2017,030097,05,111111,01,1,1,042,27,05,0,1,2,04,1,,5,1,,446
4,03,003,0001,2017,030097,05,111111,02,2,2,031,18,08,1,1,2,03,3,,5,1,,446
4,03,003,0001,2017,030097,05,111111,03,3,1,013,05,05,0,1,1,03,1,,6,4,5,446
4,03,003,0001,2017,030097,05,111111,04,3,1,008,22,02,0,1,1,02,2,,,,,446
4,03,003,0001,1926,030109,01,111111,01,1,1,050,25,01,0,9,9,02,6,,1,1,,476
4,03,003,0001,1926,030109,01,111111,02,2,2,046,11,11,1,1,2,06,3,2,1,1,,476
4,03,003,0001,1926,030109,01,111111,03,3,1,023,04,03,0,1,2,03,3,,6,3,5,476
4,03,003,0001,1926,030109,01,111111,04,3,2,022,28,09,0,1,2,04,3,,1,5,5,476
4,03,003,0001,1926,030109,01,111111,05,3,1,013,27,11,0,1,1,02,6,,6,4,5,476
4,03,003,0001,1926,030109,01,111111,06,4,1,018,21,01,0,1,2,03,2,,1,1,,476
4,03,003,0001,1926,030109,02,111111,01,1,2,073,10,06,0,1,2,02,4,,4,5,5,476
4,03,003,0001,1926,030109,02,111111,02,3,1,043,28,04,0,1,2,02,6,,6,8,5,476
4,03,003,0001,1926,030109,02,111111,03,3,2,049,10,02,0,1,2,02,4,,5,5,5,476
4,03,003,0001,1926,030109,02,111111,04,3,1,041,22,01,0,1,2,02,5,,2,1,,476
4,03,003,0001,1926,030109,02,111111,05,3,1,039,01,01,0,1,2,02,5,,2,1,,476
4,03,003,0001,1926,030109,02,111111,06,4,1,051,28,05,0,1,2,03,3,,5,1,,476
