"RESENT,C,2","EDAD,C,3","SEXO,C,1","TPREG,C,1","ENTIDAD,C,2","MUNICIPIO,C,3","LOCALIDAD,C,4","AGEB,C,4","NUMCONTROL,C,6","VIVSEL,C,2","IDHOGAR,C,6","SABECONACY,C,1","TELE,C,1","RADIO,C,1","PEROREV,C,1","LIBROS,C,1","INTERNET,C,1","OTROS,C,1","NOSABECONA,C,1","PUREVCIETE,C,1","DIFACTCYTM,C,1","FINEMPDEST,C,1","APOPROYCUL,C,1","BECAPOSG,C,1","INVEST,C,1","FININVUNI,C,1","CONSESC,C,1","OTRAS,C,1","TEXTO,C,30","OPNCONA,C,1","BECPOSNAC,C,1","BECPOSEXT,C,1","BECESTTEC,C,1","INCINVDES,C,1","FONMIX,C,1","FONSEC,C,1","FONINS,C,1","PROAVA,C,1","SISNACINV,C,1","REDCON,C,1","COOPINST,C,1","REGNACCIEN,C,1","SISINFCIET,C,1","INFEDOCIET,C,1","APOYINV,C,1","SISNACINV2,C,1","BECPOS,C,1","APODESTEC,C,1","PROGRETREP,C,1","PRIOCONA,C,1","RELCONCIEN,C,1","POLACTCONA,C,1","OBSERVACIO,C,254","NUMREN,C,2","FACPER,N,10,0"
01,023,2,C,03,003,0001,2267,030117,04,111111,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,3,2,,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,4,1,1,,03,1103
01,028,2,C,03,003,0001,2267,030117,05,111111,1,0,0,0,0,0,1,1,1,1,1,2,1,1,1,2,2,,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,3,1,1,1,3,3,2,,02,1103
01,023,2,C,03,003,0001,3388,030118,01,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,969
01,045,1,C,03,003,0001,3388,030118,02,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,3977
01,022,2,C,03,003,0001,3388,030118,03,111111,1,1,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,969
01,019,2,C,03,003,0001,3388,030118,04,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,969
01,038,2,C,03,003,0001,3388,030118,05,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,969
01,046,2,C,03,003,0001,1930,030123,01,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,989
01,079,2,C,03,003,0001,1930,030123,02,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,989
01,031,2,C,03,003,0001,1930,030123,03,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,989
01,057,2,C,03,003,0001,1930,030123,04,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,989
01,071,2,C,03,003,0001,1930,030123,05,111111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,989
01,025,2,C,03,003,0001,3462,030138,01,111111,1,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,950
01,022,2,C,03,003,0001,3462,030138,02,111111,1,1,0,1,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,950
