"TPREG,C,1","ENTIDAD,C,2","MUNICIPIO,C,3","LOCALIDAD,C,4","AGEB,C,4","NUMCONTROL,C,6","VIVSEL,C,2","IDHOGAR,C,1","DEGVIV,C,1","JUEZ,C,2","MEDICO,C,2","ABOGADO,C,2","INVESTIGA,C,2","HOMBRENG,C,2","PERIODI,C,2","BANQUERO,C,2","INGENIE,C,2","ARQUITE,C,2","PROFESOR,C,2","DEPORT,C,2","ARTISTA,C,2","PEREVYPER,C,1","PETVYRAD,C,1","PALITICOS,C,1","INC,C,1","CIENTRAUNI,C,1","CIENTRACEN,C,1","ASOCPAM,C,1","EMPRESA,C,1","MILITARES,C,1","LIDREL,C,1","GOBIERNO,C,1","MADICOS,C,1","ESCEINV,C,1","BIOLOGIA,C,1","ASTRONOM,C,1","HISTORIA,C,1","FISICA,C,1","HOMEOPA,C,1","HOROSCOPOS,C,1","ECONOMIA,C,1","MEDICINA,C,1","PSICOLOGIA,C,1","MATEMA,C,1","PARAPSI,C,1","CIIMANEG,C,1","CLMCNOAT,C,1","TECIDIFI,C,1","EXPLYSNOAT,C,1","POCOINTJOV,C,1","OTRA,C,1","NINGUNA,C,1","NOSABE,C,1","ESPE_C166,C,50","LLAVE,C,23","NUMREN,C,2"
7,29,005,0001,001A,290233,02,1,1,08,10,06,10,10,07,10,10,10,10,10,06,2,2,3,1,1,1,1,1,2,2,1,1,1,1,1,3,2,2,4,2,1,1,1,3,0,3,0,1,2,0,0,0,,290050001001A2902330211,01
7,29,005,0001,001A,290233,03,1,1,06,08,08,08,06,07,07,08,07,06,07,07,2,2,3,2,2,2,4,4,2,3,3,2,2,5,5,3,2,3,4,5,3,2,2,2,0,0,1,2,3,0,0,0,,290050001001A2902330311,01
7,29,005,0001,0344,290304,03,1,1,06,07,07,08,06,08,06,08,08,08,09,06,2,2,3,2,4,4,4,2,2,2,3,2,2,2,2,2,1,3,4,3,1,2,1,2,0,0,2,1,3,0,0,0,,29005000103442903040311,02
7,29,005,0001,0344,290304,04,1,1,08,10,10,10,07,05,06,08,08,10,09,05,3,3,3,2,2,2,2,3,3,3,3,2,2,2,1,4,2,5,4,3,1,3,2,5,2,3,0,0,1,0,0,0,,29005000103442903040411,02
7,29,005,0001,0344,290304,05,1,1,05,10,09,10,08,10,09,09,10,08,09,02,2,2,3,2,2,3,2,3,3,3,3,2,3,2,4,4,2,4,4,4,2,3,2,4,1,2,0,3,0,0,0,0,,29005000103442903040511,02
7,29,005,0002,0698,290355,01,1,1,05,10,05,06,08,09,04,03,07,10,10,10,2,2,3,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,1,1,1,2,0,1,2,0,3,0,0,0,,29005000206982903550111,01
7,29,005,0002,0698,290355,02,1,1,07,08,08,10,08,10,08,08,08,10,10,08,2,2,3,2,2,2,2,3,2,2,2,2,2,3,3,3,3,1,3,3,1,1,1,2,1,0,2,0,3,0,0,0,,29005000206982903550211,01
7,29,005,0002,0698,290355,03,1,1,06,08,07,08,08,07,08,08,08,09,07,07,2,2,3,3,2,3,3,3,2,3,3,2,3,2,2,2,2,4,4,4,2,2,4,4,0,0,2,3,1,0,0,0,,29005000206982903550311,02
7,29,005,0002,0698,290355,05,1,1,08,09,09,09,09,08,07,07,07,09,09,08,2,2,3,2,2,1,2,2,1,2,2,2,2,2,1,3,2,2,3,2,1,2,2,1,0,1,2,3,0,0,0,0,,29005000206982903550511,02
7,29,010,0001,0363,290215,01,1,1,07,07,08,08,08,09,08,09,09,09,08,09,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,2,2,2,2,2,0,2,0,1,3,0,0,0,,29010000103632902150111,02
