"TPREG,C,1","ENTIDAD,C,2","MUNICIPIO,C,3","LOCALIDAD,C,4","AGEB,C,4","NUMCONTROL,C,6","VIVSEL,C,2","IDHOGAR,C,1","DEGVIV,C,1","RADIO,C,1","PERYREV,C,1","REVCIEN,C,1","INTERNET,C,1","TELEVI,C,1","ESCYUNI,C,1","TODASIMP,C,1","INGESIMP,C,1","NOSABE,C,1","HRSTVSEM,C,3","NOTITV,C,3","CYTTV,C,3","HRSRADIO,C,3","NOTIRA,C,3","CYTRA,C,3","LEEPERI,C,1","LEEART,C,3","ARTNOTI,C,3","ARTCYT,C,3","LEEREVI,C,2","ARTIREVI,C,3","ARTCNOTI,C,3","ARTCYTEC,C,3","REVISTA1,C,30","REVISTA2,C,30","REVISTA3,C,30","ACCOMPU,C,1","LUGAR1,C,2","LUGAR2,C,2","ESPE,C,30","CINTERN,C,1","ACCINTER,C,1","HORASEM,C,2","ARTEYHUM,C,1","SOCYCUL,C,1","CONVERTR,C,1","INSTGOB,C,1","CIENCIA,C,1","DEPOR,C,1","ECOYFIN,C,1","ENTRETE,C,1","TECNOL,C,1","NOTIAC,C,1","EDUCA,C,1","SERVSREF,C,1","COMENLIN,C,1","EMAIL,C,1","MEDICINA,C,1","OTROS,C,1","MUSDARTE,C,1","ZOO,C,1","BIBLIOPUB,C,1","MUSDCYT,C,1","PLANETA,C,1","EXPOCYT,C,1","SEMNACYT,C,1","APRENDER,C,2","ESINTE,C,2","ACOMALGUN,C,2","ESDIVERT,C,2","CASUALIDAD,C,2","GUSTO,C,2","POREXH,C,2","NADAQH,C,2","CERCADCA,C,2","OTRA,C,2","ESPECI,C,15","FALDTIM,C,1","ESTALEJOS,C,1","PRECDENTRA,C,1","NOSEUB,C,1","NOHAYINT,C,1","MUSCOMP,C,1","NOESTAPLA,C,1","OTRAS,C,1","ESPECIF,C,15","MUCHPCYT,C,1","DESCYTNE,C,1","POCOCIP,C,1","PRECYTENTV,C,1","MDCLEO,C,1","LLAVE,C,23","NUMREN,C,2"
6,28,009,0001,0705,280741,04,1,1,4,5,6,3,2,1,0,0,0,014,007,005,035,020,007,3,012,005,006,02,020,010,005,TV NOTAS,MUY INTERESANTE (AVECES),,1, 1, 3,,1,1,20,2,2,2,1,1,2,2,1,1,1,2,1,2,1,2,2,2,1,2,1,2,1,2,00,00,03,00,00,00,00,00,00,00,,,,,,,,,,,2,4,1,2,3,28009000107052807410411,05
6,28,009,0001,0705,280741,05,1,1,3,4,5,6,1,2,0,0,0,000,000,000,010,000,000,4,004,002,000,00,000,000,000,,,,1, 1, 2,,1,1,05,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,,,,,,,,,,,,1,0,0,0,0,0,0,0,,5,3,1,4,2,28009000107052807410511,01
6,28,009,0001,0813,280825,01,1,1,0,0,0,0,0,0,1,0,0,004,002,001,012,004,001,7,006,003,001,00,000,000,000,,,,2,,,,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,0,0,0,0,8,NO LE GUSTA,5,5,5,5,2,28009000108132808250111,02
6,28,009,0001,0813,280825,02,1,1,2,4,5,6,1,3,0,0,0,012,005,000,004,000,000,2,008,006,000,00,000,000,000,,,,1, 2, 0,,1,2,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,1,0,0,0,0,0,0,0,,2,3,2,3,2,28009000108132808250211,01
6,28,009,0001,0813,280825,03,1,1,1,4,3,6,2,5,0,0,0,015,006,002,040,015,002,2,010,008,001,00,000,000,000,,,,1, 1, 0,,1,2,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,0,5,0,0,0,,2,2,2,2,2,28009000108132808250311,01
6,28,009,0001,0813,280825,04,1,1,2,4,6,3,5,1,0,0,0,021,002,001,014,001,000,4,015,009,002,04,008,003,001,ESPECTACULOS,MODA,CONOZCA MAS (A VECES),1, 4, 0,,1,1,09,2,2,1,2,2,2,2,1,2,2,1,1,1,1,2,1,2,1,1,2,2,2,2,,,,,,,,,,,,0,0,0,0,5,0,0,0,,2,3,1,4,2,28009000108132808250411,04
6,28,009,0001,0813,280825,05,1,1,1,6,5,2,4,3,0,0,0,021,005,010,015,012,002,4,002,001,001,00,000,000,000,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,1,0,0,0,0,0,0,0,,1,3,1,3,2,28009000108132808250511,01
6,28,009,0001,0866,280502,01,1,1,3,6,2,5,4,1,0,0,0,010,002,002,014,000,000,0,000,000,000,00,000,000,000,,,,1, 1, 2,,1,1,05,2,1,2,1,1,2,1,2,1,1,2,1,1,1,1,2,2,1,1,2,1,2,2,,,,,,,,,,,,0,0,0,4,0,0,0,8,NO HAY EN CD,3,3,3,3,2,28009000108662805020111,04
6,28,009,0001,0866,280502,02,1,1,2,5,6,4,1,3,0,0,0,015,005,000,000,000,000,1,015,010,001,02,020,010,004,MECANICA POPULAR,PROCESO,,1, 2, 0,,1,1,05,2,2,1,2,2,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,4,0,0,0,0,,2,2,2,2,2,28009000108662805020211,01
6,28,009,0001,0866,280502,03,1,1,5,2,6,3,4,1,0,0,0,020,002,001,000,000,000,0,000,000,000,00,000,000,000,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,0,0,0,0,8,NO LE GUSTA,2,2,2,3,3,28009000108662805020311,02
