"PER,C,4","AGEB,C,4","CD,C,2","PRO_VIV,C,4","ENT,C,2","CON,C,4","V_SEL,C,1","N_HOG,C,1","N_REN,C,2","S4P24_1,C,1","S4P24_2,C,1","S4P24_3,C,1","S4P24_4,C,1","S4P24_5,C,1","S4P24_6,C,1","S4P24_7,C,1","S4P24_8,C,1","S4P24_9,C,1","S4P24_10,C,1","S4P25_1,C,1","S4P25_2,C,1","S4P25_3,C,1","S4P25_4,C,1","S4P25_5,C,1","S4P25_6,C,1","S4P25_7,C,1","S4P26_1,C,1","S4P26_2,C,1","S4P26_3,C,1","S4P26_4,C,1","S4P26_5,C,1","S4P26_6,C,1","S4P26_7,C,1","S4P26_8,C,1","S4P26_9,C,1","S4P26_10,C,1","S4P26_11,C,1","S4P27_1,C,1","S4P27_2,C,1","S4P27_3,C,1","S4P27_4,C,1","S4P27_5,C,1","S4P28_1,C,1","S4P28_2,C,1","S4P28_3,C,1","S4P28_4,C,1","S4P28_5,C,1","S4P28_6,C,1","S4P29,C,1","S4P29_ES,C,50","S4P29_1,C,1","S4P29_1_ES,C,50","S4P29_2,C,1","S4P29_3,C,1","S4P29_4,C,1","S4P29_5,C,1","S4P29_6,C,1","S4P30_1,C,1","S4P30_2,C,1","S4P30_3,C,1","S4P30_4,C,1","S4P30_5,C,1","S4P30_6,C,1","S4P30_7,C,1","S4P30_8,C,1","S4P31_1,C,1","S4P31_2,C,1","S4P31_3,C,1","S4P32,C,1","S4P32_1,C,1","S4P32_2,C,1","S4P33_1,C,1","S4P33_2,C,1","S4P33_3,C,1","S4P33_4,C,1","S4P33_5,C,1","S4P33_6,C,1","S4P33_7,C,1","S4P34,C,1","S4P34_1,C,1","S4P35,C,1","S5P1,C,1","S5P2_1,C,1","S5P2_2,C,1","S5P2_3,C,1","S5P2_4,C,1","S5P2_5,C,1","S5P2_6,C,1","S5P3,C,1","S5P4_1,C,1","S5P4_2,C,1","S5P4_3,C,1","S5P4_4,C,1","S5P4_5,C,1","S5P4_6,C,1","S5P4_7,C,1","S5P4_8,C,1","S5P4_9,C,1","S5P4_ES,C,20","S5P5,C,1","S5P6_1,C,1","S5P6_2,C,1","S5P6_3,C,1","S5P6_4,C,1","S5P6_5,C,1","S5P6_6,C,1","S5P6_7,C,1","S5P6_8,C,1","S5P6_9,C,1","S5P6_10,C,1","S5P6_11,C,1","S5P6_12,C,1","S5P6_13,C,1","S5P6_14,C,1","S5P7,C,1","S5P8,C,1","S5P9,C,1","S5P10_1,C,1","S5P10_2,C,1","S5P10_3,C,1","S5P10_4,C,1","S5P10_5,C,1","S5P10_6,C,1","S5OBS,C,50","FAC,N,6,0"
0809,2066,14,0033,01,0205,2,1,01,3,2,2,2,3,3,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,2,3,2,2,2,3,3,3,2,1,,2,,1,2,,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,3,2,3,3,2,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26528
0809,2066,14,0065,01,0205,3,1,02,1,2,1,1,1,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,3,2,2,3,3,3,1,2,3,2,2,2,,1,,3,2,,2,2,3,1,1,1,1,3,1,3,3,2,2,1,1,1,1,1,3,3,3,3,3,1,3,1,1,1,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9668
0809,2066,14,0103,01,0205,4,1,01,2,3,3,2,2,2,3,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,1,3,3,2,1,,2,,3,2,,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,2,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11453
0809,0498,14,0011,01,0276,1,1,02,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,1,,2,,3,2,,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,4,3,3,2,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8955
0809,0498,14,0054,01,0276,3,1,04,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,2,2,1,2,2,2,3,2,2,2,2,2,2,3,3,2,2,2,2,2,2,1,,2,,2,2,,2,2,1,1,2,2,2,3,2,2,2,2,1,1,2,1,3,2,2,2,2,4,3,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19197
0809,0498,14,0076,01,0276,4,1,01,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,3,3,2,2,1,,2,,2,2,,2,2,1,1,1,1,1,2,1,1,2,1,1,1,2,2,2,2,3,2,2,3,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4478
0809,0498,14,0099,01,0276,5,1,04,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,,2,,2,2,,2,2,1,1,1,1,1,1,1,1,3,1,1,1,2,2,2,2,2,2,2,3,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17910
0809,0500,14,0002,01,0293,1,1,01,2,2,2,2,2,3,2,2,2,2,2,4,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,3,2,2,1,,1,,3,2,,2,2,1,1,1,1,1,1,4,1,3,1,1,1,2,2,4,3,3,2,5,2,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7223
0809,0500,14,0002,01,0293,1,2,02,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,1,,1,,2,2,,2,2,1,1,1,1,1,1,1,1,1,3,3,1,2,2,2,2,2,2,2,2,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5700
0809,1744,14,0037,01,0039,2,1,01,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,3,3,3,2,2,2,3,3,2,2,,2,,3,2,,2,1,3,2,2,1,1,2,1,1,3,1,1,1,2,1,2,2,2,2,3,2,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6047
0809,1744,14,0064,01,0039,3,1,02,3,2,2,2,3,3,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,3,3,2,2,2,3,3,2,2,2,,1,,3,2,,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12094
0809,1744,14,0090,01,0039,4,1,02,2,2,2,2,2,2,3,2,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,3,2,2,1,2,2,2,2,4,3,2,2,2,1,,1,,4,2,,2,3,3,1,1,3,1,3,1,3,2,3,1,1,2,2,2,2,2,2,4,3,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14429
0809,1744,14,0113,01,0039,5,1,02,2,2,2,2,2,2,2,2,2,3,2,3,3,2,3,2,2,3,2,2,3,2,2,2,2,2,1,2,3,2,2,3,2,2,2,3,3,3,3,1,,1,,3,2,,2,3,3,1,1,1,1,1,1,2,3,1,3,1,1,1,2,2,3,2,3,3,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9619
0809,2795,14,0009,01,0047,1,1,01,5,5,2,2,5,5,3,3,3,5,2,2,2,2,4,5,5,2,2,2,5,2,2,2,2,3,2,2,2,5,2,2,2,2,2,5,2,5,5,1,,2,,5,2,,2,2,4,1,1,4,1,4,1,4,5,5,5,2,,,5,5,2,5,2,2,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11130
0809,2795,14,0037,01,0047,2,1,02,3,5,2,3,3,3,3,3,3,3,2,3,2,2,3,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,,2,,3,2,,2,2,3,1,1,1,1,1,1,1,1,1,1,1,2,2,3,5,2,3,2,2,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13247
0809,2795,14,0073,01,0047,3,1,02,2,3,2,2,2,3,3,3,3,2,2,2,2,2,3,3,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,,1,,1,2,,2,1,2,1,1,1,1,1,1,1,1,1,1,2,,,3,2,2,2,2,2,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19870
0809,2795,14,0108,01,0047,4,1,01,2,3,2,3,2,2,2,3,2,2,2,3,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,,2,,1,2,,2,2,4,1,1,1,1,4,1,1,1,5,5,1,2,2,2,2,2,2,2,2,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10140
0809,2719,14,0003,01,0074,1,1,02,2,2,2,2,3,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,2,2,2,2,3,3,2,1,,1,,2,2,,2,2,4,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,3,3,2,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9606
0809,2719,14,0068,01,0074,3,1,01,2,2,2,2,2,3,4,2,2,2,2,4,2,2,2,2,2,2,2,1,2,2,2,2,1,3,3,2,4,2,4,3,2,2,2,4,2,3,2,2,,1,,3,2,,2,2,3,1,1,1,1,1,1,1,3,3,1,1,2,1,2,2,3,3,2,3,3,2,,3,1,1,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9195
0809,2719,14,0097,01,0074,4,1,01,2,3,2,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,4,3,3,2,2,2,3,2,2,2,1,,2,,2,2,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,2,3,2,2,,2,1,1,0,0,0,0,0,1,2,1,2,1,2,1,1,2,2,,2,2,2,2,1,1,2,2,1,1,1,2,1,1,1,3,3,2,2,2,4,4,4,4,,9195
0809,2719,14,0127,01,0074,5,1,01,2,2,2,2,2,3,2,2,2,3,2,3,3,2,2,2,3,1,2,2,1,2,2,3,2,2,2,2,4,2,3,4,2,3,2,4,2,3,2,1,,2,,3,2,,2,3,2,1,1,1,1,1,1,2,3,3,3,1,2,1,2,3,2,3,2,2,2,1,3,3,1,1,0,0,0,0,0,1,1,2,1,1,1,1,1,2,2,,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,2,3,2,1,2,5,2,,13793
0809,1299,14,0157,01,0122,1,1,02,2,2,2,2,2,3,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,2,2,2,2,3,2,,2,,2,2,,1,2,4,1,1,1,1,1,2,1,1,1,1,1,2,2,3,2,3,2,3,3,2,2,,2,1,0,0,0,1,0,0,1,1,1,2,1,1,1,2,2,2,,2,1,1,1,2,1,1,2,2,2,2,2,1,2,1,2,2,1,2,2,3,4,5,2,,13482
0809,1299,14,0349,01,0122,4,1,01,2,2,2,3,3,3,2,3,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,3,2,3,2,2,3,2,2,3,3,2,2,3,3,2,2,2,,2,,3,2,,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,3,2,3,3,2,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15478
0809,2206,14,0007,01,0151,1,1,04,2,2,2,2,2,3,3,2,2,2,2,4,3,2,2,2,3,2,2,2,1,2,2,2,2,2,2,2,3,2,3,3,3,2,2,4,3,3,3,1,,1,,2,2,,2,3,3,1,1,1,1,2,1,1,3,1,2,1,1,1,2,2,3,2,4,4,3,2,,1,1,1,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20469
0809,3083,14,0010,01,0163,1,1,01,2,2,3,2,2,2,2,2,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,3,2,2,,2,,3,2,,2,3,1,2,1,1,1,2,2,1,1,3,4,1,2,1,2,2,3,2,2,3,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5307
0809,3083,14,0027,01,0163,2,1,02,2,3,2,2,2,2,2,2,1,2,3,2,2,2,2,2,3,2,3,2,2,2,2,2,2,3,2,2,2,2,3,2,3,2,2,2,3,2,3,1,,2,,2,2,,2,1,3,1,1,1,1,1,1,1,1,5,5,1,1,1,3,2,2,2,2,2,2,1,3,1,1,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9309
0809,3083,14,0037,01,0163,3,1,03,5,5,5,2,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,2,2,5,2,2,2,2,4,5,1,,2,,5,2,,2,3,4,4,1,1,1,1,1,1,4,4,1,2,,,2,2,2,5,3,3,3,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16473
0809,3083,14,0053,01,0163,4,1,01,2,2,2,2,2,2,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,3,2,2,2,2,3,2,3,1,,2,,2,2,,2,1,4,1,1,1,1,1,1,4,1,1,3,1,1,1,3,2,3,3,3,3,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8912
0809,3083,14,0063,01,0163,5,1,02,2,2,1,2,2,2,1,1,1,1,2,4,3,2,2,1,1,2,1,2,2,2,1,2,1,1,1,2,2,2,1,2,2,2,1,2,4,2,2,1,,2,,2,2,,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,4,4,3,3,2,2,,3,1,0,0,1,0,1,0,1,1,1,3,1,1,1,1,2,2,,2,1,1,1,1,1,2,2,2,1,1,2,1,1,1,4,2,1,2,1,1,2,2,2,,9253
0809,3223,14,0003,01,0193,1,1,04,2,2,2,2,2,3,3,3,2,3,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,3,2,2,1,,2,,2,2,,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22429
0809,3223,14,0028,01,0193,2,1,01,3,2,3,3,3,3,3,2,2,3,2,2,2,1,4,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,4,3,2,2,1,,1,,3,2,,2,3,4,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17171
0809,3223,14,0065,01,0193,5,1,06,2,2,2,2,2,2,3,3,2,3,2,3,3,2,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,3,3,3,2,1,,2,,2,2,,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,2,3,2,3,2,2,2,4,2,,2,1,0,0,1,0,0,0,1,1,2,1,2,1,1,1,3,2,,2,1,1,2,2,2,2,1,2,1,1,2,1,1,1,4,2,1,2,2,2,2,2,2,,30987
0809,2719,14,0074,01,0196,3,1,02,2,2,2,2,2,3,2,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,2,2,3,3,3,3,1,,2,,1,2,,2,1,3,2,2,4,2,2,3,2,2,1,3,1,2,1,1,2,4,3,3,3,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10943
0809,0407,14,0084,01,0201,3,1,01,5,3,2,3,2,2,3,2,3,2,3,3,3,2,3,2,3,2,2,2,2,2,2,3,3,2,2,2,3,3,3,2,3,2,2,2,3,2,2,2,,2,,3,2,,1,1,4,1,2,4,2,1,1,1,5,3,1,1,2,2,2,2,4,3,3,3,3,2,,1,1,0,0,0,0,0,1,1,1,3,3,3,1,1,3,2,2,,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,5,3,1,6,1,1,1,2,,10621
0809,2066,14,0002,01,0205,1,1,02,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,,2,,1,2,,2,2,1,1,1,1,1,2,1,1,2,4,1,2,,,3,2,2,2,2,2,2,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15917
0809,2066,14,0139,01,0205,5,1,01,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,3,2,1,,2,,2,2,,2,1,1,2,2,2,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,3,2,1,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15917
0809,2583,14,0023,01,0270,1,1,01,2,3,2,3,2,3,3,2,3,2,2,2,3,2,3,2,2,2,2,2,2,2,2,3,2,2,3,2,3,3,2,3,3,2,3,3,3,2,3,2,,2,,2,2,,2,2,4,1,1,1,1,1,1,1,5,1,1,1,2,2,3,3,3,2,3,3,3,2,,2,1,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4168
0809,2583,14,0076,01,0270,3,1,02,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,2,3,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,,2,,2,2,,2,5,4,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,2,2,2,2,5,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8774
0809,2583,14,0105,01,0270,4,1,03,2,2,2,2,3,2,3,2,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,2,2,2,2,3,2,2,1,,2,,2,2,,2,1,2,1,1,3,1,1,1,1,3,1,3,1,1,1,3,2,2,2,2,2,2,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21934
0809,2583,14,0128,01,0270,5,1,01,2,3,2,2,2,2,2,2,2,2,2,2,2,1,3,2,4,2,2,2,1,2,1,2,3,2,2,2,2,2,2,4,2,2,2,2,3,2,3,2,,2,,2,1,3,2,2,2,1,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,3,2,2,2,1,3,2,1,1,0,0,0,0,0,1,1,1,2,1,2,1,1,2,2,,2,1,1,2,2,1,1,1,1,2,2,1,1,1,1,4,2,1,2,2,2,2,2,2,,8335
0809,0498,14,0033,01,0276,2,1,02,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,,2,,2,2,,2,2,2,1,2,1,2,2,1,1,1,1,1,1,2,2,2,2,2,3,2,2,2,2,,1,1,0,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9798
0809,0500,14,0036,01,0293,2,1,02,2,2,2,2,2,3,2,2,2,2,2,4,4,2,2,3,2,2,2,2,1,2,2,2,2,2,2,1,5,2,2,4,4,3,2,2,2,2,2,2,,1,,4,2,,2,4,1,1,1,1,1,1,1,1,2,3,3,1,2,1,2,2,4,2,2,2,4,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8025
