"R_DEF,C,2","PER,C,4","AGEB,C,4","CD,C,2","V_SEL,C,1","ENT,C,2","CON,C,4","PRO_VIV,C,4","N_HOG,C,1","N_REN,C,2","PAR,C,1","SEX,C,1","EDA,C,3","NAC_DIA,C,2","NAC_MES,C,2","NAC_ANIO,C,4","NIV,C,2","GRA,C,1","A_ESC,C,1","R_ELE,C,1","FAC,N,10,0","FAC18,N,10,0","ED_ENPECYT,C,1"
01,0809,3223,14,4,01,0193,0058,1,01,1,1,052,03,05,1957,02,6,,1,7429,14709,2
01,0809,3223,14,4,01,0193,0058,1,02,2,2,051,11,04,1958,03,3,,,7429,0,2
01,0809,3223,14,4,01,0193,0058,1,03,3,2,018,11,08,1991,04,2,,,7429,0,2
01,0809,3223,14,4,01,0193,0058,1,04,3,2,013,27,11,1995,03,2,,,7429,0,2
01,0809,2511,14,2,01,0268,0042,1,01,1,1,037,05,02,1972,04,3,,1,4006,9834,4
01,0809,2511,14,2,01,0268,0042,1,02,2,2,037,30,11,1971,04,3,,,4006,0,4
01,0809,2511,14,2,01,0268,0042,1,03,3,2,006,01,03,2003,01,3,,,4006,0,4
01,0809,2511,14,2,01,0268,0042,1,04,3,2,004,15,10,2004,,,,,4006,0,4
01,0809,262A,14,2,01,0328,0051,1,01,1,1,056,11,10,1952,02,6,,1,4791,10950,3
01,0809,262A,14,2,01,0328,0051,1,02,2,2,051,15,09,1957,02,3,,,4791,0,3
01,0809,3223,14,4,01,0193,0058,1,05,3,1,014,29,09,1994,02,5,,,7429,0,2
01,0809,1299,14,2,01,0122,0191,1,01,1,1,046,18,10,1962,07,4,3,,4861,0,4
01,0809,1299,14,2,01,0122,0191,1,02,2,2,046,24,01,1963,04,3,,1,4861,17956,4
01,0809,1299,14,2,01,0122,0191,1,03,3,2,016,24,05,1993,04,1,,,4861,0,4
01,0809,1299,14,2,01,0122,0191,1,04,3,1,012,02,07,1997,02,5,,,4861,0,4
01,0809,1299,14,2,01,0122,0191,1,05,3,2,013,08,12,1995,02,6,,,4861,0,4
01,0809,1299,14,2,01,0122,0191,1,06,5,2,035,17,08,1974,02,3,,,4861,0,4
01,0809,2206,14,4,01,0151,0080,1,01,1,1,044,07,09,1964,00,,,1,5370,10674,2
01,0809,2206,14,4,01,0151,0080,1,02,2,2,041,02,09,1967,02,6,,,5370,0,2
01,0809,2206,14,4,01,0151,0080,1,03,3,1,012,24,01,1997,02,6,,,5370,0,2
01,0809,3223,14,3,01,0193,0045,1,01,1,1,032,25,04,1977,04,2,,1,7429,11403,2
01,0809,3223,14,3,01,0193,0045,1,02,2,2,032,26,01,1977,03,3,,,7429,0,2
01,0809,3223,14,3,01,0193,0045,1,03,3,1,009,15,04,2000,02,3,,,7429,0,2
01,0809,2719,14,1,01,0196,0020,1,01,1,2,044,21,02,1965,03,3,,1,5163,9337,3
01,0809,2719,14,1,01,0196,0020,1,02,3,2,018,28,11,1990,04,2,,,5163,0,3
01,0809,2719,14,1,01,0196,0020,1,03,3,1,017,12,11,1991,04,1,,,5163,0,3
01,0809,2719,14,4,01,0196,0099,1,01,1,2,028,06,10,1980,04,3,,,5163,0,3
01,0809,2719,14,4,01,0196,0099,1,02,4,2,026,23,03,1983,07,5,3,,5163,0,3
01,0809,2719,14,4,01,0196,0099,1,03,4,1,021,07,07,1988,07,3,3,1,5163,14631,3
01,0809,2719,14,5,01,0196,0127,1,01,1,1,036,27,04,1973,07,3,3,,5163,0,3
01,0809,2719,14,5,01,0196,0127,1,02,2,2,038,28,07,1971,04,3,,1,5163,9267,3
01,0809,2719,14,5,01,0196,0127,1,03,3,1,013,06,12,1995,03,2,,,5163,0,3
01,0809,2719,14,5,01,0196,0127,1,04,3,1,006,07,10,2002,02,1,,,5163,0,3
01,0809,2719,14,5,01,0196,0127,1,05,3,2,000,04,07,2009,,,,,5163,0,3
01,0809,2511,14,1,01,0268,0017,1,01,1,1,034,29,06,1975,07,4,3,,4006,0,4
01,0809,2511,14,1,01,0268,0017,1,02,2,2,034,08,07,1975,04,3,,1,4006,11118,4
01,0809,2511,14,1,01,0268,0017,1,03,3,1,005,15,04,2004,01,2,,,4006,0,4
01,0809,2511,14,1,01,0268,0017,1,04,3,1,002,13,10,2006,,,,,4006,0,4
01,0809,2511,14,1,01,0268,0017,1,05,3,2,000,25,04,2009,,,,,4006,0,4
01,0809,2511,14,3,01,0268,0065,1,01,1,1,049,29,04,1960,04,2,,1,4006,19742,4
