"CD,C,2","PER,C,4","AGEB,C,4","ENT,C,2","CON,C,4","PRO_VIV,C,4","V_SEL,C,1","N_HOG,C,1","RFC_E,C,10","RFC_S,C,10","R_PRE,C,2","FCH_PRE,C,10","R_DEF,C,2","FCH_DEF,C,10","P1,C,2","P2,C,1","P3,C,2","R_INF,C,2","R_ELE,C,2","FAC,N,6,0"
14,0811,262A,01,0328,0132,5,1,-,-,01,22/08/2011,01,22/08/2011,05,1,,01,05,4713
14,0811,1320,01,0385,0045,2,1,-,-,01,09/08/2011,01,19/08/2011,05,1,,02,02,5244
14,0811,1744,01,0039,0013,1,1,-,-,07,30/08/2011,07,30/08/2011,,,,,,0
14,0811,1299,01,0122,0179,2,1,-,-,07,30/08/2011,07,30/08/2011,,,,,,0
14,0811,3168,01,0163,0012,1,1,-,-,07,30/08/2011,07,30/08/2011,,,,,,0
14,0811,3168,01,0163,0094,5,1,-,-,07,30/08/2011,07,30/08/2011,,,,,,0
14,0811,2812,01,0193,0033,2,1,-,-,07,30/08/2011,07,30/08/2011,,,,,,0
14,0811,0498,01,0276,0073,4,1,-,-,06,30/08/2011,06,30/08/2011,,,,,,0
14,0811,255A,01,0285,0025,1,1,-,-,07,30/08/2011,07,30/08/2011,,,,,,0
14,0811,0500,01,0293,0030,1,1,-,-,08,07/08/2011,08,07/08/2011,,,,,,0
14,0811,2668,01,0326,0071,3,1,-,-,06,30/08/2011,06,30/08/2011,,,,,,0
14,0811,2668,01,0326,0120,5,1,-,-,07,30/08/2011,07,30/08/2011,,,,,,0
14,0811,262A,01,0328,0016,1,1,-,-,07,30/08/2011,07,30/08/2011,,,,,,0
14,0811,262A,01,0328,0105,4,1,-,-,07,30/08/2011,07,30/08/2011,,,,,,0
14,0811,1299,01,0122,0360,4,1,-,-,01,23/08/2011,01,23/08/2011,04,1,,02,02,5555
14,0811,0407,01,0201,0156,5,1,-,-,01,06/08/2011,01,23/08/2011,06,1,,04,02,6062
14,0811,2511,01,0268,0086,4,1,-,-,01,11/08/2011,01,23/08/2011,04,1,,03,01,4637
14,0811,2583,01,0270,0020,1,1,-,-,01,25/08/2011,01,29/08/2011,03,1,,01,01,4501
14,0811,2583,01,0270,0127,5,1,-,-,01,12/08/2011,01,23/08/2011,06,1,,03,01,4501
14,0811,255A,01,0285,0098,4,1,-,-,01,17/08/2011,01,23/08/2011,05,1,,02,01,4011
14,0811,159A,01,0300,0236,5,1,-,-,01,29/08/2011,01,29/08/2011,04,1,,02,02,5346
21,0811,3412,02,0009,0014,1,1,-,-,01,02/08/2011,01,03/08/2011,05,1,,05,05,4225
21,0811,3412,02,0009,0032,2,1,-,-,01,05/08/2011,01,08/08/2011,04,1,,02,01,4225
21,0811,3412,02,0009,0076,4,1,-,-,01,07/08/2011,01,07/08/2011,01,,,01,01,4225
21,0811,3412,02,0009,0098,5,1,-,-,01,03/08/2011,01,03/08/2011,03,1,,01,01,4225
21,0811,4463,02,0016,0021,1,1,-,-,01,04/08/2011,01,07/08/2011,03,1,,02,01,5147
21,0811,3272,02,0019,0074,3,1,-,-,01,03/08/2011,01,07/08/2011,01,,,01,01,5260
21,0811,3041,02,0021,0017,1,1,-,-,01,02/08/2011,01,07/08/2011,03,1,,01,01,3940
21,0811,3041,02,0021,0035,2,1,-,-,01,02/08/2011,01,08/08/2011,05,1,,01,02,3940
21,0811,3041,02,0021,0100,4,1,-,-,01,02/08/2011,01,07/08/2011,04,1,,01,02,3940
21,0811,3041,02,0021,0104,5,1,-,-,01,06/08/2011,01,08/08/2011,03,1,,02,02,3940
21,0811,6652,02,0035,0008,1,1,-,-,01,05/08/2011,01,08/08/2011,06,1,,03,01,6715
21,0811,6652,02,0035,0313,4,1,-,-,01,05/08/2011,01,08/08/2011,06,1,,05,01,6715
21,0811,3605,02,0043,0020,1,1,-,-,01,05/08/2011,01,08/08/2011,03,1,,02,02,5287
21,0811,3605,02,0043,0110,4,1,-,-,01,06/08/2011,01,08/08/2011,05,1,,01,02,5287
21,0811,3605,02,0043,0139,5,1,-,-,01,05/08/2011,01,08/08/2011,07,1,,02,02,5287
21,0811,3516,02,0100,0024,1,1,-,-,01,05/08/2011,01,08/08/2011,05,1,,02,01,5802
21,0811,3516,02,0100,0055,2,1,-,-,01,05/08/2011,01,08/08/2011,04,1,,03,02,5802
21,0811,0511,02,0127,0023,1,1,-,-,01,07/08/2011,01,07/08/2011,02,1,,01,02,4662
21,0811,0511,02,0127,0068,2,1,-,-,01,03/08/2011,01,08/08/2011,03,1,,02,03,4662
21,0811,0511,02,0127,0105,3,1,-,-,01,02/08/2011,01,07/08/2011,01,,,01,01,4662
21,0811,3395,02,0143,0061,3,1,-,-,01,07/08/2011,01,08/08/2011,04,1,,01,02,6994
21,0811,1346,02,0169,0061,2,1,-,-,01,02/08/2011,01,07/08/2011,03,1,,01,01,4663
21,0811,1346,02,0169,0090,3,1,-,-,01,06/08/2011,01,08/08/2011,05,1,,04,04,4663
21,0811,1346,02,0169,0138,4,1,-,-,01,02/08/2011,01,07/08/2011,02,1,,01,01,4663
21,0811,5315,02,0216,0040,1,1,-,-,01,04/08/2011,01,07/08/2011,04,1,,02,02,5863
21,0811,5315,02,0216,0078,2,1,-,-,01,04/08/2011,01,07/08/2011,02,1,,01,01,5863
21,0811,5315,02,0216,0101,5,1,-,-,01,04/08/2011,01,07/08/2011,03,1,,01,01,5863
21,0811,6402,02,0230,0159,4,1,-,-,01,07/08/2011,01,08/08/2011,05,1,,01,02,5296
21,0811,4637,02,0288,0030,1,1,-,-,01,06/08/2011,01,08/08/2011,02,1,,01,02,5241
21,0811,4637,02,0288,0101,3,1,-,-,01,03/08/2011,01,07/08/2011,04,1,,01,03,5241
