"CD,C,2","PER,C,4","ENT,C,2","CON,C,4","V_SEL,C,1","N_HOG,C,1","N_REN,C,2","S3P1,C,2","S3P1_2,C,1","S3P2,C,4","S3P2_ES,C,50","S3P3,C,1","S3P4_1,C,1","S3P4_2,C,1","S3P4_3,C,1","S3P4_4,C,1","S3P5,C,1","S3P5_ES,C,50","S3P6,C,2","S3P7,C,1","S3P7_1_1,C,1","S3P7_1_2,C,1","S3P7_2_1,C,1","S3P7_2_2,C,1","S3P8,C,1","S3P9,C,1","S3P10,C,1","S3P11_ES,C,100","S3P12_C,C,2","S3P12_ES,C,50","S3P13_ES,C,50","S3P14_C,C,2","S3P14_ES,C,100","S3P15,C,1","S4P1_1,C,1","S4P1_2,C,1","S4P1_3,C,1","S4P1_4,C,1","S4P1_5,C,1","S4P1_6,C,1","S4P1_7,C,1","S4P1_1_1,C,1","S4P1_1_2,C,1","S4P1_1_3,C,1","S4P1_1_4,C,1","S4P1_1_5,C,1","S4P1_1_6,C,1","S4P1_1_7,C,1","S4P1_1_ES,C,50","S4P1_2_1,C,1","S4P1_2_2,C,1","S4P1_2_3,C,1","S4P1_2_4,C,1","S4P1_2_5,C,1","S4P1_2_6,C,1","S4P1_2_7,C,1","S4P1_2_8,C,1","S4P1_2_9,C,1","S4P1_2_10,C,1","S4P1_2_11,C,1","S4P1_2_ES,C,50","S4P2_1,C,1","S4P2_2,C,1","S4P2_3,C,1","S4P2_4,C,1","S4P2_5,C,1","S4P2_6,C,1","S4P2_7,C,1","S4P3_1,C,1","S4P3_2,C,1","S4P3_3,C,1","S4P3_4,C,1","S4P3_5,C,1","S4P3_6,C,1","S4P3_7,C,1","S4P3_8,C,1","S4P3_9,C,1","S4P4,C,3","S4P4_1,C,3","S4P4_2,C,3","S4P5,C,3","S4P5_1,C,3","S4P5_2,C,3","S4P6,C,1","S4P6_1,C,2","S4P6_2,C,2","S4P6_3,C,2","S4P7,C,2","S4P7_1,C,2","S4P7_2,C,2","S4P7_3,C,2","S4P7_R1,C,50","S4P7_R2,C,50","S4P7_R3,C,50","S4P8,C,1","S4P8_1_1,C,2","S4P8_1_2,C,2","S4P8_1_ES,C,50","S4P9,C,1","S4P10,C,1","S4P10_1,C,2","S4P11_1,C,1","S4P11_2,C,1","S4P11_3,C,1","S4P11_4,C,1","S4P11_5,C,1","S4P11_6,C,1","S4P11_7,C,1","S4P11_8,C,1","S4P11_9,C,1","S4P11_10,C,1","S4P11_11,C,1","S4P11_12,C,1","S4P11_13,C,1","S4P11_14,C,1","S4P11_15,C,1","S4P11_16,C,1","S4P11_17,C,1","S4P11_ES,C,50","S4P12_1,C,1","S4P12_2,C,1","S4P12_3,C,1","S4P12_4,C,1","S4P12_5,C,1","S4P12_6,C,1","S4P12_7,C,1","S4P12_8,C,1","S4P12_9,C,1","S4P12_1_1,C,1","S4P12_1_2,C,1","S4P12_1_3,C,1","S4P12_1_4,C,1","S4P12_1_5,C,1","S4P12_1_6,C,1","S4P12_1_7,C,1","S4P12_1_8,C,1","S4P12_1_9,C,1","S4P12_1_10,C,1","S4P12_1_ES,C,50","S4P12_2_1,C,1","S4P12_2_2,C,1","S4P12_2_3,C,1","S4P12_2_4,C,1","S4P12_2_5,C,1","S4P12_2_6,C,1","S4P12_2_7,C,1","S4P12_2_8,C,1","S4P12_2_ES,C,50","S4P13_1,C,1","S4P13_2,C,1","S4P13_3,C,1","S4P13_4,C,1","S4P13_5,C,1","S4P13_6,C,1","S4P14_1,C,2","S4P14_2,C,2","S4P14_3,C,2","S4P14_4,C,2","S4P14_5,C,2","S4P14_6,C,2","S4P14_7,C,2","S4P14_8,C,2","S4P14_9,C,2","S4P14_10,C,2","S4P14_11,C,2","S4P14_12,C,2","S4P14_13,C,2","S4P14_14,C,2","S4P14_15,C,2","S4P14_16,C,2","S4P15_1,C,1","S4P15_2,C,1","S4P15_3,C,1","S4P15_4,C,1","S4P15_5,C,1","S4P15_6,C,1","S4P15_7,C,1","S4P15_8,C,1","S4P15_9,C,1","S4P15_10,C,1","S4P15_11,C,1","S4P15_12,C,1","S4P15_13,C,1","S4P15_14,C,1","S4P15_15,C,1","S4P16_1,C,1","S4P16_2,C,1","S4P16_3,C,1","S4P16_4,C,1","S4P16_5,C,1","S4P16_6,C,1","S4P16_7,C,1","S4P16_8,C,1","S4P16_9,C,1","S4P16_10,C,1","S4P16_11,C,1","S4P16_12,C,1","S4P17_1,C,1","S4P17_2,C,1","S4P17_3,C,1","S4P17_4,C,1","S4P17_5,C,1","S4P17_ES,C,50","S4P17_6,C,1","S4P17_7,C,1","S4P18_1,C,1","S4P18_2,C,1","S4P18_3,C,1","S4P18_4,C,1","S4P18_5,C,1","S4P18_6,C,1","S4P18_7,C,1","S4P18_8,C,1","S4P18_9,C,1","S4P18_10,C,1","S4P19_1,C,1","S4P19_2,C,1","S4P19_3,C,1","S4P19_4,C,1","S4P19_5,C,1","S4P19_6,C,1","S4P19_7,C,1","S4P19_8,C,1","S4P19_9,C,1","S4P19_10,C,1","S4P19_11,C,1","S4P19_12,C,1","S4P19_13,C,1","S4P19_14,C,1","S4P19_15,C,1","S4P19_16,C,1","S4P19_17,C,1","S4P19_18,C,1","S4P19_19,C,1","S4P19_20,C,1","S4P20,C,1","S4P21,C,1","S4P22_1_1,C,1","S4P22_1_2,C,1","S4P22_1_3,C,1","S4P22_1_4,C,1","S4P22_1_5,C,1","S4P22_1_6,C,1","S4P22_2,C,1","FAC,N,6,0"
33,0811,06,0034,1,1,01,07,5,5330,LIC EN ADMINISTRACION,3,2,1,1,1,2,,23,2,,,1,2,1,,1,ADMINISTRA,14,ADMINISTRADOR,LA MARINA,46,TIENDA DEPARTAMENTAL,1,2,2,2,1,1,2,2,,,,,,,,,1,1,1,2,2,1,1,1,1,1,2,,2,2,3,3,2,4,3,5,3,6,1,2,4,,,,014,007,005,005,003,000,7,30,10,05,03,15,10,01,MUY INTERESANTE,DOS OCHO,,1,01,02,,1,1,36,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,,2,1,2,2,2,2,2,2,2,,,,,,,,,,,,1,0,0,0,0,0,0,0,,3,3,3,1,2,2,09,10,08,08,09,06,07,08,09,10,10,08,10,10,08,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,3,3,3,1,2,1,3,3,1,,2,3,,,,,1,2,1,2,2,1,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,2,2,2,2,2,2,1,7930
33,0811,06,0034,5,1,04,07,1,5341,DERECHO,3,2,2,2,2,1,,19,1,2,2,,,4,5,,,,,,,,,3,3,2,2,2,3,2,,,,,,,,,1,1,1,2,2,2,2,1,1,1,2,,2,2,2,2,2,2,2,4,6,1,2,3,5,,,,006,003,000,008,008,000,4,15,05,00,00,,,,,,,1,01,03,,1,1,30,2,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,2,,2,2,1,2,2,1,2,2,1,,,,,,,,,,,,0,0,0,1,0,0,0,0,,3,3,3,2,2,3,09,10,10,10,08,09,09,10,10,10,10,08,10,10,10,10,2,2,3,2,1,1,2,3,3,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,,2,,,,,3,3,2,2,2,2,3,2,2,2,1,2,1,2,3,1,1,1,1,1,1,2,1,1,1,3,3,2,1,1,3,2,3,3,2,2,2,3,1,16178
33,0811,06,0070,1,1,01,05,4,N122,PROFESORADO NORMALISTA EN EDUCACION PRIMARIA,2,,,,,1,,18,2,,,2,2,6,5,,,,,,,,,3,3,2,2,3,3,4,,,,,,,,,2,2,1,2,2,2,1,1,2,2,2,,3,3,3,3,3,3,3,4,3,5,2,1,6,,,,049,010,000,005,003,000,0,,,,00,,,,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,2,2,1,1,,,,,,,,,,,,0,0,0,0,1,0,0,0,,5,3,2,2,2,2,09,08,05,10,02,07,01,08,08,10,08,08,10,08,07,06,3,2,3,2,2,2,2,4,2,3,3,2,3,2,2,2,2,4,1,2,4,3,1,1,1,4,4,,3,2,1,,,,,2,4,2,2,2,2,2,2,5,4,3,2,2,2,2,2,1,1,1,2,1,2,1,2,1,2,2,2,1,1,3,2,5,2,4,1,1,2,1,7583
33,0811,06,0070,2,1,01,06,3,2334,TECNICO AUXILIAR CONTABLE,2,,,,,1,,16,2,,,1,2,1,,1,REALIZA TAREAS ADMINISTRATIVAS EN OFICINA,25,AUXILIAR CONTABLE,DIF ESTATAL COLIMA,93,APOYAR A LAS FAMILIAS DE BAJOS RECURSOS CON MEDICINAS DESPENSAS ROPA.,2,2,2,3,3,2,3,2,,,,,,,,,2,1,1,2,2,2,2,2,2,2,2,,3,3,3,3,3,3,3,6,4,3,1,2,5,,,,020,008,002,000,,,5,12,06,06,00,,,,,,,1,01,02,,1,1,07,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,,2,1,2,2,2,2,2,1,2,,,,,,,,,,,,1,0,0,0,0,0,0,0,,3,3,1,5,5,3,07,08,05,10,07,06,05,08,08,10,10,08,10,09,04,08,2,2,3,2,2,2,3,4,3,3,3,1,3,5,1,2,2,3,2,3,4,2,1,2,1,2,2,3,1,,2,,,,,2,2,2,2,2,2,4,4,5,5,1,1,1,1,3,2,1,1,1,1,1,2,1,3,1,2,2,2,1,3,3,2,4,4,5,1,1,1,1,3882
33,0811,06,0070,3,1,01,03,3,,,,,,,,,,,,,,,,1,,1,TRANSPORTA PERSONAS EN AUTOBUS,83,CHOFER DE AUTOBUS,SERVICIO INTERMUNICIPAL DE TRANSPORTE,48,TRANSPORTE DE PERSONAS EN AUTOBUS DE RUTA,2,3,4,2,2,3,3,3,,,,,,,,,2,2,1,2,2,2,2,2,1,2,2,,3,3,3,3,3,3,3,2,3,6,4,1,5,,,,020,000,000,000,,,0,,,,00,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,2,1,2,2,2,2,2,1,2,,,,,,,,,,,,0,0,0,0,1,0,0,0,,5,5,5,5,5,5,08,09,06,10,07,07,07,09,09,09,08,10,09,08,09,10,5,5,4,4,2,2,2,5,2,5,4,2,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,3,,2,1,,,,,4,4,3,4,3,4,4,4,5,3,1,1,1,3,3,3,1,3,3,3,1,3,3,3,3,1,3,3,1,3,1,1,2,3,5,1,2,2,1,12210
33,0811,06,0071,2,1,01,06,3,1800,SECRETARIA TAQUIMECANOGRAFA,1,,,,,,,,,,,,,1,,6,,,,,,,,2,4,4,4,2,4,4,0,0,0,0,1,0,0,,,,,,,,,,,,,,2,4,4,4,1,4,4,1,2,5,6,3,4,,,,005,002,000,010,005,000,7,70,35,04,00,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,0,1,0,0,0,,2,3,3,2,2,2,08,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,2,4,2,2,2,2,2,2,2,3,2,2,2,4,2,2,2,1,2,4,4,1,3,1,3,2,2,,1,3,,,,,4,4,2,3,2,2,2,4,4,4,1,2,1,1,3,3,1,2,1,2,1,2,1,1,1,1,2,1,2,2,3,1,5,1,2,1,1,1,2,4673
33,0811,06,0071,3,1,01,02,5,,,,,,,,,,,,,,,,1,,4,COCER ROPA AGENA,73,COSTURERA,COSTURERA,31,SIN NOMBRE,2,4,4,3,4,1,3,3,,,,,,,,,1,2,2,2,2,2,2,1,2,2,2,,2,3,4,2,2,2,4,2,1,5,6,3,4,,,,014,003,000,006,006,000,5,10,10,00,00,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,0,0,0,0,0,0,0,1,NO SABE LO QUE ES,3,3,2,1,1,1,08,08,08,09,10,09,08,09,10,09,10,10,10,10,09,10,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,5,3,2,3,1,2,3,3,3,2,5,2,1,2,,3,,,,,3,4,2,2,4,4,4,5,5,5,1,1,1,2,3,3,1,2,1,2,1,1,1,3,1,1,2,1,2,3,3,2,4,1,2,1,1,6,2,4673
33,0811,06,0071,5,1,02,02,4,,,,,,,,,,,,,,,,5,5,,,,,,,,,3,3,4,4,1,1,3,0,1,0,0,0,0,0,,,,,,,,,,,,,,3,2,2,2,2,2,4,2,3,6,4,1,5,,,,021,014,006,007,000,000,7,35,34,01,00,,,,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,1,1,,,,,,,,,,,,1,0,0,0,0,0,0,0,,3,3,3,3,3,2,08,09,09,10,08,10,10,10,10,10,10,10,10,10,10,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,1,1,5,2,2,3,1,1,1,1,5,,1,2,3,,,,,1,2,1,1,1,2,2,1,5,5,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,2,2,1,3,3,4,3,3,1,1,1,1,14019
33,0811,06,0095,2,1,01,03,3,,,,,,,,,,,,,,,,1,,1,RESGUARDAR Y PROTEGER A LA CIUDADANIA,53,AGENTE  DE POLICIA,POLICIA ESTATAL PREVENTIVA,93,BRINDAR SEGURIDAD Y PROTECCION A LA POBLACION,1,3,2,3,3,2,2,2,,,,,,,,,1,2,1,2,2,2,1,2,1,2,2,,2,2,2,2,2,2,2,6,4,5,3,1,2,,,,012,005,002,001,001,000,5,02,02,00,00,,,,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,1,1,,,,,,,,,,,,0,0,0,0,1,0,0,0,,3,3,2,2,2,3,08,09,07,10,09,09,09,09,09,09,09,09,10,09,08,09,3,3,3,3,1,1,2,2,1,2,2,2,3,5,2,2,2,3,1,2,4,2,2,2,2,3,3,,3,1,2,,,,,2,4,2,3,3,3,3,3,4,3,1,1,1,3,2,3,1,1,1,1,1,3,1,3,1,2,2,1,1,2,3,1,5,2,5,1,1,2,1,23091
33,0811,06,0095,3,1,02,04,2,,,,,,,,1,,17,2,,,2,2,5,5,,,,,,,,,2,3,2,2,1,3,3,,,,,,,,,2,2,1,2,2,2,1,1,1,2,2,,2,3,3,3,2,3,3,5,2,4,3,6,1,,,,042,010,000,002,000,000,0,,,,02,04,02,00,TV Y NOVELAS,TV NOTAS,,2,,,,1,2,,,,,,,,,,,,,,,,,,,,2,1,2,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,1,0,0,0,0,,2,2,2,1,3,2,07,09,09,09,09,10,10,09,10,09,10,08,10,09,10,09,2,1,3,2,2,2,1,2,2,3,2,1,1,1,2,2,1,2,2,4,1,3,2,2,2,2,2,,1,3,2,,,,,3,3,3,3,3,3,2,3,5,5,3,1,1,1,3,3,1,1,1,3,1,2,1,3,1,3,3,2,3,3,3,2,4,2,4,1,2,1,2,11777
33,0811,06,0095,4,1,01,03,3,,,,,,,,,,,,,,,,1,,1,REALIZA ASEO Y LIMPIEZA EN UNA OFICINA,96,AFANADORA,ASELEY  SERVICIOS DE LIMPIEZA Y MANTENIMIENTO,56,REALIZA TAREAS DE MANTENIMIENTO Y LIMPIEZA AL SERVICIO DE EMPRESAS,2,4,3,3,4,3,3,3,,,,,,,,,2,1,1,2,2,2,2,2,1,2,2,,2,3,2,4,2,2,4,5,4,6,1,2,3,,,,021,005,000,012,003,000,1,02,01,00,00,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,0,1,0,0,0,,2,4,3,3,5,5,09,10,10,09,09,09,10,10,10,10,09,10,10,10,09,10,2,2,4,5,5,5,4,4,2,2,3,2,5,5,3,5,4,5,2,5,2,2,2,3,3,3,5,,2,1,3,,,,,5,5,2,5,3,5,2,3,5,5,1,3,1,2,1,3,1,3,3,3,1,3,1,3,2,2,3,3,1,1,2,3,3,2,4,1,1,6,1,13337
33,0811,06,0095,5,1,02,03,1,,,,,,,,,,,,,,,,5,5,,,,,,,,,4,4,3,3,3,3,3,,,,,,,,,2,2,1,2,2,2,2,2,2,2,2,,4,4,4,4,3,3,4,2,3,6,4,1,5,,,,028,007,000,010,002,000,0,,,,00,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,0,0,0,0,1,0,0,0,,2,2,2,3,2,2,08,07,06,08,08,07,08,09,09,09,10,07,10,09,08,09,3,3,3,5,2,2,2,5,3,2,3,1,5,5,2,3,3,5,5,5,3,5,2,5,2,5,5,,3,2,1,,,,,5,5,2,4,4,4,4,4,5,5,1,3,2,3,3,3,1,3,3,3,1,3,3,3,3,3,3,3,2,3,2,1,3,2,5,2,2,2,1,13983
33,0811,06,0121,2,1,03,09,4,7711,CARDIOLOGIA,4,2,1,1,1,1,,30,2,,,1,2,1,,1,CONSYLTA,24,MEDICO CARDIOLOGO,ISSSTE CRUZ ROJA CONSEJO CLINICAS PART,62,CONSULTA,1,1,3,1,1,1,3,3,,,,,,,,,1,2,2,2,2,1,1,2,1,2,2,,1,2,2,2,2,2,2,3,2,5,4,1,6,,,,006,002,004,005,000,000,3,15,01,01,04,07,02,04,AMERICAN,NEW INGLAN,PEOCESOS,1,02,00,,1,1,02,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,3,3,2,2,3,4,04,05,04,06,05,04,07,07,04,02,02,03,08,07,05,08,3,3,4,3,1,1,3,4,3,3,4,2,1,1,3,2,2,2,2,3,4,3,2,2,2,3,3,3,,2,,,,,,3,2,2,1,1,3,2,2,3,3,1,2,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,2,1,2,3,3,4,2,4,1,1,1,2,11594
33,0811,06,0121,3,1,03,03,3,,,,,,,,,,,,,,,,1,,1,AYUDANTE ALBA�IL,71,ALBA�IL,TRABAJA POR SU CUENTA,23,CONSTRUCCION,2,1,3,2,2,2,2,2,,,,,,,,,1,1,1,2,2,2,2,2,2,2,2,,1,3,3,3,3,4,4,6,3,2,4,5,1,,,,004,000,000,025,005,000,2,02,02,00,00,,,,,,,2,,,,1,1,02,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,2,2,,,,,,,,,,,,1,0,0,0,0,0,0,0,,2,2,2,2,3,3,08,10,09,08,09,07,10,10,10,09,10,08,10,10,08,09,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,3,1,1,1,3,1,,3,2,,,,,4,2,3,2,2,2,2,2,3,3,1,2,1,2,3,3,1,1,1,1,1,1,1,1,1,3,3,2,3,1,4,3,4,4,1,2,2,2,1,15188
33,0811,06,0121,4,1,01,07,5,5330,LIC EN ADMINISTRACION,3,2,1,1,1,2,,55,2,,,1,2,1,,5,ADMINISTRAR,96,GERENTE,LAVANDERIA Y PLANCHADURIA,81,LAVAR Y PLANCHAR,2,3,2,1,1,1,3,3,,,,,,,,,1,1,1,2,1,1,1,1,2,2,2,,3,2,2,2,2,3,3,1,4,5,2,3,6,,,,012,007,003,024,012,000,3,12,10,01,01,02,00,01,NO RECUERDA EL NOMBRE,,,1,01,02,,1,1,14,1,1,1,2,2,2,2,2,1,2,2,2,1,1,1,1,2,,1,2,2,2,2,2,2,2,1,,,,,,,,,,,,0,0,0,0,1,0,0,0,,3,3,3,2,2,3,08,09,09,10,09,08,09,09,09,09,10,09,10,10,10,10,2,2,3,2,2,2,2,3,2,2,3,2,3,2,2,2,2,2,1,1,2,3,1,2,2,2,2,,1,2,3,,,,,1,2,1,2,1,1,2,1,3,1,1,2,2,1,3,1,1,1,1,1,1,2,1,3,1,2,1,2,1,2,3,3,4,3,4,1,1,2,2,7730
33,0811,06,0133,1,1,01,03,3,,,,,,,,,,,,,,,,1,,2,EMPAQUETAR CARBON EN UNA EMPACADORA,92,EMPACADOR DE CARBON,CARBONERA AGUILAR S.A DE C.V.,32,ELABORA Y DISTRIBUYE CARBON,3,1,3,2,2,2,2,2,,,,,,,,,1,1,1,2,2,2,2,2,2,2,2,,3,4,2,2,3,3,3,2,5,6,3,1,4,,,,021,005,000,005,001,000,0,,,,00,,,,,,,1,04,00,,1,1,07,2,1,1,2,2,1,2,1,2,1,2,2,2,1,2,2,2,,2,1,2,2,2,2,2,1,2,,,,,,,,,,,,0,0,0,0,1,0,0,0,,3,3,3,3,3,3,08,09,08,10,09,10,08,09,09,10,09,08,10,10,10,09,3,2,4,3,2,2,1,3,2,3,3,1,2,5,2,2,2,3,2,3,3,5,2,4,2,3,5,,2,3,1,,,,,4,5,2,3,3,4,4,4,5,5,1,1,1,2,1,2,1,3,3,3,1,2,1,1,1,1,3,1,2,3,3,2,4,2,5,1,1,1,1,17318
33,0811,06,0133,2,1,02,04,2,,,,,,,,1,,17,2,,,2,2,5,1,1,VENDIO PRODUCTOS DE BELLEZA,42,VENDEDORA DE PRODUCTOS DE BELLEZA,DISTRIBUIDORA DE PRODUCTOS FULLER S.A.,46,DISTRIBUIR PRODUCTOS DE USO PERSONAL,1,2,2,3,3,1,4,2,,,,,,,,,1,2,1,2,1,2,2,1,1,2,2,,1,1,3,3,1,4,2,2,3,4,6,5,1,,,,021,007,001,000,,,2,02,01,00,00,,,,,,,1,05,00,,1,1,01,1,1,2,1,2,1,2,2,2,2,1,1,2,2,1,2,2,,2,1,2,2,1,2,2,1,1,,,,,,,,,,,,0,0,0,1,1,0,0,0,,2,3,2,2,3,3,07,10,09,09,08,09,08,09,09,09,09,08,10,09,09,09,3,2,3,2,2,2,2,3,2,3,2,1,3,2,2,2,2,3,2,2,3,3,1,4,2,5,5,,2,1,3,,,,,3,3,2,3,2,2,4,4,5,4,1,2,1,1,2,2,1,2,3,1,1,2,1,3,1,1,2,1,1,3,3,3,4,2,5,1,2,2,1,11545
33,0811,06,0133,3,1,03,07,1,5712,LICENCIATURA EN ENFERMERIA,3,1,1,1,1,1,,19,1,2,2,,,4,5,,,,,,,,,3,3,3,2,1,3,3,,,,,,,,,1,1,1,2,1,2,2,1,1,1,2,,2,2,2,3,2,2,2,5,4,6,1,3,2,,,,021,007,007,007,007,000,3,02,01,00,00,,,,,,,1,03,04,,1,1,14,2,1,1,2,1,2,2,2,1,1,1,1,2,1,1,1,2,,1,2,1,2,1,1,2,2,1,,,,,,,,,,,,0,0,0,1,0,0,0,0,,3,2,2,3,2,2,09,10,08,10,08,08,09,08,08,09,09,08,09,09,07,08,3,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,3,3,3,1,1,1,2,2,2,3,1,,,,,,2,3,1,2,1,2,2,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,3,3,5,2,2,2,2,2,1,17318
33,0811,06,0133,4,1,02,02,6,,,,,,,,,,,,,,,,1,,2,SOLDAR CIRCUITOS PARA ARNESES DE VEHICULOS,82,OPERADORA DE PRODUCCION,MANUFACTURA AVANZADA DE COLIMA S.A  DE C.V.,33,FABRICACION DE ARNESES PARA VEHICULOS AUTOMOTORES,1,3,3,3,3,3,3,2,,,,,,,,,1,1,1,2,2,2,2,2,1,2,2,,4,3,4,4,2,2,2,6,4,1,2,3,5,,,,015,005,001,025,005,000,0,,,,00,,,,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,,,2,1,2,2,1,2,2,1,2,,,,,,,,,,,,0,0,0,0,1,0,0,0,,3,3,3,2,2,3,04,07,03,08,05,06,06,08,08,10,07,05,10,10,08,07,3,3,4,4,2,2,3,3,2,3,4,2,5,5,1,2,2,3,2,3,4,2,1,2,2,4,5,1,,3,2,,,,,3,5,2,2,2,3,3,4,4,4,1,2,2,2,3,3,3,3,1,2,1,3,1,1,1,2,2,1,1,3,3,2,5,3,5,1,2,2,2,11643
33,0811,06,0133,5,1,01,02,3,,,,,,,,,,,,,,,,8,5,,,,,,,,,2,3,2,1,2,3,3,,,,,,,,,1,2,1,2,2,2,2,2,2,2,2,,1,2,2,4,2,4,2,2,6,5,4,1,3,,,,028,010,000,010,003,000,0,,,,00,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,0,0,0,0,1,0,0,0,,2,5,2,2,3,2,09,10,07,09,07,09,06,08,09,10,10,07,09,09,10,09,3,2,3,2,3,1,2,3,2,1,3,1,3,5,1,2,3,1,3,3,3,3,1,3,1,3,4,,3,1,2,,,,,4,4,2,5,4,2,4,4,4,4,1,2,1,3,3,3,1,3,3,3,1,2,1,3,1,1,2,3,3,3,3,2,5,4,5,1,6,2,1,11751
33,0811,06,0215,1,1,02,03,3,,,,,,,,,,,,,,,,1,,4,ATIENDE UNA PAPELERIA,41,COMERCIANTE DE PAPELERIA,PAPELERIA ELI,46,COMPRA VENTA DE ARTICULOS DE PAPELERIA,2,3,3,3,3,2,3,3,,,,,,,,,2,2,1,2,2,2,2,1,2,2,2,,3,3,3,3,2,3,3,3,2,5,6,1,4,,,,007,003,000,000,,,0,,,,00,,,,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,1,2,,,,,,,,,,,,0,1,0,0,0,0,0,0,,5,2,2,2,5,2,05,08,07,09,09,08,09,09,09,09,09,07,10,08,07,10,3,3,4,3,2,2,2,4,2,1,3,2,5,5,2,3,2,4,3,4,4,2,2,4,2,4,3,1,,3,2,,,,,3,5,3,4,4,4,4,4,5,5,3,3,1,3,3,3,1,2,3,2,1,3,3,3,3,3,3,1,1,3,3,1,3,3,5,2,2,2,2,14931
33,0811,06,0215,2,1,01,02,6,,,,,,,,,,,,,,,,5,5,,,,,,,,,4,4,4,4,3,3,3,0,1,1,0,1,0,0,,,,,,,,,,,,,,4,4,4,4,2,3,4,5,3,6,2,4,1,,,,007,002,000,000,,,0,,,,00,,,,,,,2,,,,1,2,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,0,1,0,0,0,0,0,0,,5,5,5,5,5,5,08,05,07,09,07,05,07,10,10,09,09,08,10,10,09,05,3,3,4,4,2,2,3,5,1,3,3,3,5,5,2,2,2,4,2,4,4,3,1,4,2,4,5,,1,3,2,,,,,5,5,2,4,2,4,4,4,5,4,1,1,1,3,1,3,1,3,1,1,1,3,3,3,3,3,1,1,1,3,3,2,5,2,5,1,1,2,1,22242
33,0811,06,0215,4,1,02,04,2,,,,,,,,2,,28,1,2,1,,,5,5,,,,,,,,,2,4,3,3,2,3,2,,,,,,,,,2,1,1,2,2,2,1,1,2,2,2,,3,3,3,3,2,3,3,4,6,5,1,2,3,,,,007,003,000,000,,,0,,,,00,,,,,,,1,03,00,,1,1,04,1,1,2,1,2,2,2,1,2,1,1,1,2,2,1,1,2,,1,1,1,2,1,2,2,1,1,,,,,,,,,,,,1,0,0,0,0,0,0,0,,2,2,2,5,5,2,08,08,07,10,07,08,07,09,09,09,10,08,10,09,08,09,3,3,4,3,1,1,1,3,2,2,3,2,5,5,2,2,2,4,2,3,4,2,1,4,2,4,3,,2,3,1,,,,,2,2,2,2,2,3,3,3,5,3,1,2,2,3,3,3,2,3,1,2,1,2,3,1,3,2,2,2,1,3,3,2,3,3,4,1,1,2,1,15546
