"CD,C,2","PER,C,4","ENT,C,2","CON,C,4","V_SEL,C,1","N_HOG,C,1","N_REN,C,2","S4P23_1,C,1","S4P23_2,C,1","S4P23_3,C,1","S4P23_4,C,1","S4P23_5,C,1","S4P23_6,C,1","S4P23_7,C,1","S4P23_8,C,1","S4P23_9,C,1","S4P23_10,C,1","S4P23_11,C,1","S4P23_12,C,1","S4P24_1,C,1","S4P24_2,C,1","S4P24_3,C,1","S4P24_4,C,1","S4P24_5,C,1","S4P24_6,C,1","S4P24_7,C,1","S4P24_8,C,1","S4P24_9,C,1","S4P24_10,C,1","S4P25_1,C,1","S4P25_2,C,1","S4P25_3,C,1","S4P25_4,C,1","S4P25_5,C,1","S4P25_6,C,1","S4P25_7,C,1","S4P26_1,C,1","S4P26_2,C,1","S4P26_3,C,1","S4P26_4,C,1","S4P26_5,C,1","S4P26_6,C,1","S4P26_7,C,1","S4P26_8,C,1","S4P26_9,C,1","S4P26_10,C,1","S4P26_11,C,1","S4P27_1,C,1","S4P27_2,C,1","S4P27_3,C,1","S4P27_4,C,1","S4P27_5,C,1","S4P28_1,C,1","S4P28_2,C,1","S4P28_3,C,1","S4P28_4,C,1","S4P28_5,C,1","S4P28_6,C,1","S4P29,C,1","S4P29_ES,C,50","S4P29_1,C,1","S4P29_1_ES,C,50","S4P29_2,C,1","S4P29_3,C,1","S4P29_4,C,1","S4P29_5,C,1","S4P29_6,C,1","S4P30_1,C,1","S4P30_2,C,1","S4P30_3,C,1","S4P30_4,C,1","S4P30_5,C,1","S4P30_6,C,1","S4P30_7,C,1","S4P30_8,C,1","S4P31_1,C,1","S4P31_2,C,1","S4P31_3,C,1","S4P32,C,1","S4P32_1,C,1","S4P32_2,C,1","S4P33_1,C,1","S4P33_2_1,C,1","S4P33_2_2,C,1","S4P33_2_3,C,1","S4P33_2_4,C,1","S4P33_2_5,C,1","S4P33_2_6,C,1","S4P33_2_7,C,1","S4P34,C,1","S4P34_1,C,1","S4P35,C,1","S5P1,C,1","S5P2_1,C,1","S5P2_2,C,1","S5P2_3,C,1","S5P2_4,C,1","S5P2_5,C,1","S5P2_6,C,1","S5P2_ESP,C,50","S5P3,C,1","S5P4_1,C,1","S5P4_2,C,1","S5P4_3,C,1","S5P4_4,C,1","S5P4_5,C,1","S5P4_6,C,1","S5P4_7,C,1","S5P4_8,C,1","S5P4_9,C,1","S5P4_ES,C,20","S5P5,C,1","S5P6_1,C,1","S5P6_2,C,1","S5P6_3,C,1","S5P6_4,C,1","S5P6_5,C,1","S5P6_6,C,1","S5P6_7,C,1","S5P6_8,C,1","S5P6_9,C,1","S5P6_10,C,1","S5P6_11,C,1","S5P6_12,C,1","S5P6_13,C,1","S5P7,C,1","S5P8,C,1","S5P9,C,1","S5P10_1,C,1","S5P10_2,C,1","S5P10_3,C,1","S5P10_4,C,1","S5P10_5,C,1","S5P10_6,C,1","S5OBS,C,50","FAC,N,6,0"
14,0811,01,0201,4,1,01,5,2,2,2,2,2,5,2,2,2,3,2,2,2,2,2,5,5,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,3,2,2,2,2,2,3,2,2,2,,2,,1,2,,2,1,1,1,1,2,2,2,2,2,2,1,1,2,,,3,2,2,5,5,5,5,5,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12365
14,0811,01,0205,1,1,02,1,1,1,2,3,2,2,4,4,3,3,2,3,2,3,2,2,4,2,2,3,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2,2,2,2,2,2,2,2,1,,2,,1,2,,1,2,2,1,1,1,1,1,1,1,3,3,3,1,1,1,3,2,2,4,2,3,5,4,1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11553
14,0811,01,0205,2,1,01,1,2,2,2,4,2,2,3,2,3,3,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,4,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,,1,,3,2,,2,3,3,1,1,2,1,2,1,2,1,1,1,1,2,1,3,3,2,4,2,4,2,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29796
14,0811,01,0205,3,1,01,1,1,2,2,3,2,2,4,4,3,4,2,2,2,2,4,1,3,2,1,2,2,2,4,4,1,2,1,1,1,1,1,1,1,1,5,4,1,1,1,1,4,1,4,4,4,1,1,4,1,4,1,,2,,1,2,,2,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,3,1,1,4,4,4,4,1,1,3,3,1,1,0,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22946
14,0811,01,0205,4,1,01,1,1,2,2,3,2,2,4,4,4,3,1,2,2,2,2,2,4,3,2,2,2,2,3,4,2,5,2,2,3,2,5,2,2,1,3,2,5,2,5,2,5,4,4,1,5,2,2,3,1,5,1,,1,,3,2,,2,1,4,1,1,2,1,4,1,2,5,5,5,1,2,2,3,2,1,4,2,5,4,4,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11944
14,0811,01,0205,5,1,01,1,1,1,2,3,2,2,3,4,3,4,2,2,2,2,2,2,3,2,2,2,2,3,2,3,2,1,1,1,2,2,2,2,2,2,3,2,3,2,2,1,2,2,2,2,3,1,1,3,2,2,1,,1,,1,2,,2,2,4,1,1,4,1,2,1,1,3,1,5,2,,,4,2,2,2,5,4,2,5,1,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5777
14,0811,01,0276,1,1,01,1,1,1,1,1,3,2,2,2,3,3,2,2,2,2,2,1,3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,1,,2,2,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,3,3,3,3,2,,1,1,1,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,2,,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,,12486
14,0811,01,0276,3,1,02,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,3,2,2,3,2,3,2,2,3,3,3,3,2,2,1,2,2,2,2,2,3,2,3,2,2,3,2,3,3,3,1,2,3,3,3,2,1,,1,,3,2,,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,3,3,3,3,2,2,,1,1,1,0,0,1,0,0,,1,1,1,3,3,1,1,1,1,2,,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,,12399
14,0811,01,0293,2,1,01,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,5,5,5,5,2,5,5,5,5,5,5,2,2,5,5,5,5,1,,1,,5,2,,2,5,1,1,1,4,1,4,1,4,5,5,5,2,,,2,5,5,3,5,5,5,5,2,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8716
14,0811,01,0293,3,1,02,2,2,2,2,2,2,5,2,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,2,2,2,5,5,5,1,,2,,5,2,,2,1,4,2,2,4,1,4,1,4,5,5,5,2,,,2,2,5,3,5,5,5,5,2,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13073
14,0811,01,0293,4,1,02,2,3,2,3,2,2,3,3,3,3,3,3,2,3,3,3,3,3,2,2,2,2,3,3,2,2,2,2,3,2,2,2,2,2,3,2,3,3,2,2,3,3,2,3,2,3,2,3,2,2,2,2,,2,,3,2,,2,2,1,3,1,1,3,3,1,4,3,1,1,1,1,1,1,2,3,3,3,3,3,2,1,3,1,1,1,0,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11512
14,0811,01,0293,5,1,01,2,2,2,2,3,3,2,3,3,3,3,2,2,2,2,2,2,3,3,2,3,2,2,3,3,2,2,2,3,2,2,2,5,2,2,3,2,2,2,3,5,3,2,3,2,3,2,2,3,2,5,1,,1,,2,2,,2,2,1,1,1,1,1,1,1,2,1,1,3,1,2,2,3,3,2,3,2,3,3,3,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4536
14,0811,01,0039,2,1,01,2,2,3,2,3,2,2,3,3,3,3,2,2,3,2,3,3,3,3,2,3,2,2,2,2,3,3,3,2,2,2,2,3,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,3,2,2,1,,2,,3,2,,2,2,2,1,1,1,1,3,1,1,3,1,1,1,2,2,3,2,2,3,3,3,3,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10617
14,0811,01,0047,2,1,02,2,2,3,3,2,3,3,4,3,4,3,3,3,3,3,3,2,2,3,2,2,2,2,3,3,2,3,2,3,2,2,2,2,2,2,3,2,2,2,2,3,3,2,2,3,2,2,2,2,3,3,1,,1,,3,2,,2,3,4,1,2,4,1,1,1,1,3,1,1,2,,,3,2,2,3,4,3,3,3,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24741
14,0811,01,0047,3,1,01,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,4,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,1,,1,,3,2,,2,3,1,1,1,1,1,2,1,1,3,3,3,2,,,2,2,3,3,3,4,3,2,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31212
14,0811,01,0047,4,1,01,4,2,4,5,2,3,5,4,5,5,4,2,5,5,2,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,2,5,2,2,4,5,5,5,1,,1,,3,2,,2,4,4,4,4,4,1,4,1,4,5,5,5,2,,,2,2,2,5,4,4,2,5,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12487
14,0811,01,0074,1,1,01,2,2,2,2,2,2,2,3,2,3,3,3,2,2,2,2,2,2,3,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,,2,,2,2,,2,2,1,1,1,1,1,1,1,1,3,1,1,1,2,1,3,3,2,4,3,4,3,2,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10814
14,0811,01,0074,2,1,02,2,2,2,2,2,5,2,3,2,3,3,2,2,2,1,2,2,2,3,2,5,2,3,3,3,2,3,2,2,1,2,2,2,1,2,5,2,3,2,2,2,5,3,2,2,2,2,3,3,5,2,1,,2,,2,2,,2,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,3,3,2,5,3,3,5,2,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9108
14,0811,01,0074,3,1,04,1,5,2,3,5,2,5,2,5,5,3,2,5,5,5,5,5,2,3,2,2,2,5,3,2,2,5,5,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,5,5,1,,1,,3,2,,2,3,1,1,1,1,1,1,1,1,3,1,1,2,,,1,2,2,2,2,2,2,5,1,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18216
14,0811,01,0074,4,1,04,2,2,2,2,2,3,2,3,2,3,3,2,2,2,2,2,2,2,3,2,2,3,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,3,2,2,1,,2,,2,2,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2,3,3,5,3,2,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20269
14,0811,01,0074,5,1,03,2,2,2,2,2,2,2,3,2,3,3,2,2,2,2,2,2,2,3,2,2,2,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,3,2,2,2,3,3,2,5,1,,1,,3,2,,2,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,3,3,2,3,3,3,3,5,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20269
14,0811,01,0122,5,1,05,3,2,2,2,3,2,3,3,2,2,3,2,2,2,2,2,2,2,3,2,2,2,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,3,3,5,5,1,,1,,3,2,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2,3,3,5,3,2,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27826
14,0811,01,0193,3,1,04,3,2,3,2,2,3,3,2,2,3,3,2,2,3,2,3,3,2,3,2,3,2,2,3,3,2,3,3,3,3,2,3,3,2,2,2,3,3,2,2,2,2,3,2,3,2,2,2,3,2,3,1,,2,,1,2,,2,2,2,1,1,2,1,2,2,2,2,2,1,2,,,3,2,2,2,3,3,3,2,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19236
14,0811,01,0196,1,1,02,2,2,2,2,3,1,2,4,3,3,3,2,2,2,2,2,1,2,3,2,2,2,3,2,3,2,2,2,2,2,2,2,1,2,2,2,2,3,1,1,1,3,4,3,2,2,1,2,3,3,2,1,,1,,4,2,,2,3,2,1,1,2,1,3,1,2,3,3,1,1,2,2,3,2,2,2,1,3,4,1,1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18923
14,0811,01,0196,2,1,01,1,1,1,1,1,3,3,1,1,1,4,1,1,4,1,3,4,4,4,4,2,4,3,3,3,3,3,3,3,1,1,1,4,2,3,1,1,3,1,1,3,1,1,1,1,2,2,2,2,3,3,1,,2,,3,2,,2,3,1,1,2,1,1,2,1,1,5,5,5,2,,,3,2,2,2,2,2,3,2,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9754
14,0811,01,0196,3,1,01,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,1,,1,,3,2,,2,3,2,1,2,2,1,2,1,1,3,1,3,1,1,2,2,2,2,3,2,3,3,3,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9754
14,0811,01,0196,4,1,01,2,2,1,2,3,2,2,1,2,3,3,2,2,2,2,2,5,2,3,2,2,2,3,3,4,1,4,1,2,2,2,2,1,1,1,2,2,2,2,2,2,3,3,3,2,2,2,2,4,2,2,2,,1,,3,2,,2,2,2,1,1,1,1,2,1,1,3,1,1,1,2,2,3,3,3,3,2,3,3,2,1,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14530
14,0811,01,0196,5,1,01,2,2,2,2,2,3,2,2,2,3,4,1,2,2,2,2,2,2,2,1,2,2,3,2,3,2,2,1,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,3,2,2,1,,2,,3,2,,2,3,3,1,3,3,1,3,1,2,3,4,3,2,,,2,2,2,3,2,4,3,3,2,,3,1,1,0,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9754
